File: MNCLW00609.txt
Search Method: Trie (MWE + Single-Word)
Total runtime: 0.049817s
Found terms: 2659

Term                            Line                  Word Place          

төрийн ордон                    5                     1                   
төр, хувийн хэвшлийн түншлэл    6, 10, 705            1, 12, 5            
                                262, 337, 377, 390    24, 7, 5, 6         
                                405, 410, 414, 415    3, 5, 5, 19         
                                455, 458, 464, 635    2, 25, 7, 8         
                                637, 652              2, 7                
үр                              10, 30, 30, 31        36, 22, 37, 5       
                                32, 32, 35, 48        14, 25, 12, 18      
                                50, 52, 60, 63        46, 30, 12, 64      
                                69, 76, 84, 94        10, 4, 7, 8         
                                103, 156, 159, 162    6, 11, 7, 14        
                                178, 230, 250, 253    13, 8, 12, 16       
                                266, 266, 278, 300    6, 20, 12, 12       
                                306, 327, 362, 370    11, 13, 19, 18      
                                372, 420, 480, 525    10, 6, 6, 29        
                                534, 620, 621, 662    10, 13, 2, 9        
                                670, 706              23, 23              
хөгжлийн бодлого                12, 64, 64, 75        15, 6, 18, 3        
                                98, 98, 133, 205      7, 20, 8, 8         
                                206, 247, 247, 248    3, 15, 21, 8        
                                250, 264, 314         3, 27, 23           
өрийн удирдлага                 12, 21, 42, 289       30, 20, 6, 23       
                                425, 426              25, 11              
мөрдөгч                         13, 462, 600, 696     17, 3, 14, 18       
                                729                   12                  
үйлчлэгч                        14, 15, 28, 305       4, 39, 19, 14       
түншлэлийн төсөл                15, 25, 34, 48        16, 3, 11, 5        
                                54, 58, 59, 62        5, 13, 11, 5        
                                63, 63, 63, 65        5, 28, 80, 13       
                                70, 104, 109, 123     5, 4, 15, 7         
                                123, 169, 177, 178    28, 3, 8, 8         
                                229, 252, 264, 290    4, 17, 3, 18        
                                292, 295, 312, 314    16, 5, 1, 33        
                                318, 319, 321, 367    3, 11, 40, 23       
                                386, 408, 412, 415    25, 14, 9, 16       
                                425, 453, 453, 508    7, 7, 21, 5         
                                512, 522, 540, 543    6, 5, 7, 8          
                                549, 582, 589, 592    1, 4, 3, 15         
                                609, 620, 621, 643    4, 5, 6, 5          
                                664, 666, 667, 672    5, 6, 9, 9          
                                679, 680, 705, 705    5, 7, 13, 21        
сонгогч                         15, 15, 25, 31        26, 30, 14, 19      
                                32, 32, 33, 55        4, 19, 4, 31        
                                63, 88, 101, 105      34, 7, 4, 7         
                                111, 111, 135, 141    4, 14, 4, 6         
                                166, 212, 292, 293    6, 4, 24, 4         
                                293, 307, 308, 308    13, 18, 6, 19       
                                312, 317, 317, 321    7, 17, 18, 25       
                                321, 321, 323, 323    46, 47, 3, 15       
                                324, 324, 325, 326    4, 21, 17, 17       
                                327, 327, 328, 329    11, 25, 6, 4        
                                342, 343, 345, 355    11, 8, 16, 5        
                                359, 362, 369, 370    15, 17, 6, 12       
                                371, 373, 376, 384    3, 10, 4, 16        
                                385, 386, 508, 512    12, 6, 19, 8        
                                565, 566, 569, 636    16, 25, 34, 13      
                                650, 662, 705, 710    4, 4, 19, 4         
                                712, 712, 714, 715    4, 15, 3, 3         
                                715                   11                  
үйл ажиллагаа                   16, 17, 18, 19        6, 4, 8, 21         
                                20, 61, 63, 180       4, 45, 61, 7        
                                193, 231, 232, 236    7, 8, 2, 7          
                                279, 292, 293, 319    5, 26, 6, 18        
                                325, 326, 332, 348    19, 8, 6, 6         
                                379, 379, 386, 393    8, 15, 27, 4        
                                447, 470, 478, 484    4, 7, 8, 9          
                                528, 543, 544, 590    17, 5, 8, 19        
                                604, 624, 631, 632    5, 28, 5, 8         
                                643, 646, 648, 649    12, 4, 3, 3         
                                655, 658, 660, 662    9, 12, 2, 7         
                                670, 671, 704         37, 36, 5           
зах зээл                        18, 224, 239, 287     3, 13, 13, 12       
                                314, 506              8, 8                
үйлчилгээ                       18, 19, 25, 29        7, 9, 31, 2         
                                31, 48, 49, 52        3, 15, 9, 2         
                                52, 56, 56, 60        41, 17, 33, 11      
                                62, 161, 178, 222     16, 9, 15, 10       
                                336, 400, 408, 422    10, 4, 16, 9        
                                430, 453, 460, 470    2, 24, 5, 9         
                                471, 472, 473, 474    7, 8, 7, 7          
                                477, 481, 481, 505    16, 6, 16, 11       
                                506, 509, 521, 522    4, 7, 15, 9         
                                523, 525, 556, 558    16, 23, 16, 18      
                                594, 595, 606, 608    13, 8, 32, 29       
                                612, 615, 617, 621    16, 5, 6, 10        
                                631, 632, 675, 675    9, 21, 5, 9         
                                691, 693              5, 10               
ашигт малтмал эрэх              19                    15                  
болзошгүй өр төлбөр             21, 49, 54, 289       7, 27, 10, 7        
                                454, 455, 682         15, 16, 10          
үл хөдлөх эд хөрөнгийн эрх      22                    14                  
эд хөрөнгийн эрхийн улсын бүртгэл  22                    37                  
улсын бүртгэлд бүртгэсэн        22                    19                  
орон нутгийн өмч                22, 22, 25, 113       24, 32, 25, 22      
                                152, 167, 199, 216    18, 15, 8, 9        
                                430, 566, 567, 575    8, 10, 10, 11       
                                576, 580, 629         19, 23, 3           
газар                           23, 23, 42, 43        5, 13, 2, 7         
                                43, 44, 47, 70        15, 2, 18, 2        
                                70, 77, 78, 86        19, 4, 2, 2         
                                94, 99, 104, 112      2, 21, 14, 21       
                                115, 120, 121, 126    5, 26, 26, 6        
                                154, 167, 171, 284    4, 23, 22, 23       
                                285, 290, 291, 321    24, 26, 2, 6        
                                323, 364, 365, 374    8, 24, 2, 29        
                                419, 420, 423, 423    4, 2, 21, 24        
                                428, 444, 444, 446    2, 8, 19, 2         
                                450, 493, 511, 518    13, 8, 17, 28       
                                525, 545, 550, 552    57, 10, 5, 5        
                                552, 552, 553, 554    20, 28, 5, 10       
                                555, 556, 556, 557    3, 7, 12, 3         
                                557, 558, 558, 560    6, 4, 15, 12        
                                578, 587, 627, 636    13, 13, 24, 35      
                                638, 644, 654, 664    17, 2, 25, 12       
                                685, 687, 700, 701    4, 23, 17, 21       
                                704, 710, 711         2, 24, 18           
нийтийн мэдээлэл                24, 324, 669          16, 31, 18          
хувийн хэвшлийн түншлэгч        25, 50, 59, 61        6, 6, 6, 16         
                                63, 402, 443, 445     69, 2, 28, 3        
                                525, 529, 536, 555    24, 14, 8, 8        
                                560, 562, 567, 580    7, 3, 16, 8         
                                619, 624, 671, 684    4, 6, 13, 3         
зөвлөх үйлчилгээ                25, 55, 88, 105       10, 24, 5, 5        
                                636, 649              16, 6               
гэрээ                           25, 56, 56, 56        12, 11, 16, 18      
                                56, 56, 59, 89        22, 31, 2, 2        
                                106, 112, 161, 216    2, 2, 11, 2         
                                225, 309, 362, 364    2, 15, 25, 13       
                                365, 395, 401, 409    8, 3, 2, 2          
                                421, 421, 423, 424    2, 7, 13, 16        
                                441, 442, 442, 449    4, 2, 16, 5         
                                454, 474, 485, 486    2, 14, 14, 2        
                                492, 507, 508, 511    2, 5, 23, 21        
                                512, 513, 514, 532    3, 9, 6, 2          
                                545, 547, 592, 597    17, 9, 32, 2        
                                623, 624, 626, 627    4, 2, 2, 4          
                                628, 674, 700, 706    4, 2, 2, 13         
                                717                   2                   
хөрөнгө                         25, 43, 100, 113      28, 13, 17, 9       
                                118, 121, 152, 430    11, 21, 8, 11       
                                470, 487, 570, 571    14, 5, 4, 2         
                                572, 573, 574, 580    5, 8, 6, 20         
                                629, 638, 640, 646    6, 4, 2, 2          
                                653, 655, 656, 666    2, 11, 2, 9         
                                671, 675, 684, 692    19, 2, 9, 5         
бараа                           25, 422, 471, 472     29, 7, 5, 6         
                                473                   5                   
ажил                            25, 55, 60, 101       30, 29, 10, 10      
                                111, 135, 268, 284    16, 6, 33, 27       
                                285, 290, 321, 321    28, 21, 27, 30      
                                321, 326, 335, 344    38, 15, 5, 23       
                                346, 356, 372, 373    16, 2, 25, 16       
                                373, 377, 422, 460    30, 12, 8, 4        
                                471, 472, 473, 481    6, 7, 6, 15         
                                509, 521, 522, 523    6, 14, 8, 15        
                                525, 556, 558, 592    22, 14, 17, 34      
                                625, 625, 643, 713    13, 19, 8, 10       
зохицуулалт                     25, 29, 85, 416       36, 10, 17, 13      
                                442, 482, 491, 519    22, 23, 19, 21      
төсөв                           29, 35, 45, 49        6, 9, 14, 13        
                                53, 100, 100, 103     7, 15, 21, 15       
                                110, 119, 119, 122    2, 7, 15, 3         
                                130, 134, 141, 162    3, 2, 2, 4          
                                162, 166, 175, 178    9, 2, 8, 23         
                                179, 206, 217, 226    16, 9, 4, 2         
                                250, 256, 260, 278    8, 7, 2, 3          
                                298, 301, 316, 337    4, 3, 5, 12         
                                341, 356, 384, 398    11, 9, 7, 7         
                                420, 421, 421, 432    11, 16, 17, 8       
                                437, 443, 451, 452    5, 9, 17, 5         
                                453, 455, 456, 456    40, 27, 32, 42      
                                514, 641, 683, 690    22, 2, 5, 10        
                                696, 717              20, 5               
хангагч                         29, 30, 56, 61        12, 29, 9, 14       
                                63, 94, 109, 114      41, 19, 14, 7       
                                139, 140, 150, 156    7, 24, 9, 5         
                                159, 214, 218, 225    28, 6, 6, 10        
                                229, 241, 256, 282    16, 16, 10, 10      
                                285, 289, 325, 326    20, 29, 14, 29      
                                326, 327, 343, 344    34, 30, 11, 5       
                                346, 347, 360, 363    5, 4, 6, 18         
                                376, 378, 385, 395    11, 20, 9, 8        
                                408, 410, 417, 429    32, 15, 26, 10      
                                430, 434, 477, 486    5, 15, 24, 10       
                                512, 522, 556, 558    17, 12, 20, 22      
                                598, 605, 616, 620    15, 24, 5, 16       
                                622, 659, 668, 669    13, 20, 39, 31      
                                678, 679              30, 32              
гүйцэтгэгч                      30, 231, 236, 403     24, 6, 10, 5        
                                403, 456, 474, 474    9, 37, 2, 9         
                                509, 592              26, 19              
зам                             30, 47, 47, 50        34, 15, 17, 41      
                                52, 222, 700, 717     16, 17, 29, 13      
бүтээгдэхүүн                    31, 453               2, 23               
зохион байгуулагч               32, 101, 109, 113     17, 11, 8, 29       
                                265, 292, 307, 319    15, 28, 24, 21      
                                321, 324, 332, 341    49, 27, 8, 9        
                                348, 356, 625, 668    8, 16, 15, 24       
нээлт                           32, 32, 326, 326      13, 28, 12, 23      
                                327, 370, 387, 655    20, 27, 22, 19      
                                662, 678              12, 28              
журам                           33, 86, 87, 88        12, 6, 7, 9         
                                89, 91, 92, 93        4, 15, 17, 11       
                                105, 106, 108, 115    9, 4, 11, 18        
                                124, 125, 164, 166    15, 17, 5, 5        
                                251, 253, 293, 305    28, 5, 15, 11       
                                308, 323, 333, 334    21, 17, 8, 6        
                                350, 357, 424, 462    6, 11, 24, 7        
                                472, 474, 489, 505    16, 16, 5, 4        
                                511, 569, 569, 579    28, 19, 31, 13      
                                625, 629, 638, 651    10, 8, 15, 2        
                                666, 679, 711, 712    14, 18, 8, 10       
                                720                   12                  
шийдвэр                         34, 154, 211, 267     5, 5, 5, 6          
                                284, 291, 294, 309    24, 25, 27, 17      
                                317, 321, 365, 369    10, 7, 3, 10        
                                374, 380, 386, 428    35, 12, 19, 3       
                                514, 514, 544, 552    8, 13, 25, 15       
                                578, 597, 625, 627    49, 33, 32, 22      
                                636, 710, 715         36, 25, 10          
хүртээмжтэй байдал              37, 326, 616          18, 32, 3           
тайлбар                         37, 121, 122, 335     1, 34, 26, 17       
                                462, 605, 621         12, 1, 1            
эрсдэл                          37, 69, 84, 90        8, 18, 13, 3        
                                107, 120, 121, 126    3, 20, 16, 12       
                                253, 258, 282, 288    24, 2, 13, 4        
                                410, 464, 606         8, 4, 14            
хүн                             37, 337, 377, 726     12, 8, 7, 4         
тодорхойлолт                    38, 279               6, 7                
хэрэглэгч                       39, 422, 618          3, 16, 15           
өр                              41, 545, 626          2, 20, 21           
төлбөр                          41, 43, 50, 53        3, 21, 35, 17       
                                67, 67, 123, 123      2, 14, 14, 19       
                                178, 239, 263, 301    20, 11, 40, 5       
                                301, 449, 455, 536    8, 10, 11, 11       
                                545, 546, 592, 594    21, 7, 24, 16       
                                594, 595, 596, 600    21, 13, 4, 8        
                                601, 626, 643, 680    2, 22, 9, 9         
                                682                   9                   
зөвшөөрөл                       43, 44, 44, 92        12, 3, 15, 15       
                                99, 112, 121, 122     23, 23, 29, 21      
                                125, 232, 232, 285    15, 5, 13, 27       
                                286, 290, 291, 362    9, 16, 19, 27       
                                364, 373, 374, 378    15, 29, 12, 17      
                                525, 568, 568, 569    54, 20, 23, 16      
                                603, 608, 619         7, 15, 3            
хураамж                         43, 49, 57, 67        20, 12, 6, 15       
                                174, 177, 179, 278    6, 21, 8, 9         
                                472, 594, 594, 595    11, 17, 22, 14      
                                597, 599, 600, 601    14, 9, 9, 3         
                                690                   8                   
тохиолдол                       43, 121, 122, 179     30, 32, 24, 22      
                                264, 266, 309, 309    21, 24, 7, 19       
                                363, 363, 364, 367    20, 35, 17, 22      
                                374, 388, 399, 412    14, 22, 4, 24       
                                421, 425, 433, 467    14, 17, 2, 12       
                                481, 491, 492, 497    14, 16, 15, 10      
                                508, 513, 518, 527    12, 6, 20, 17       
                                532, 538, 542, 552    4, 9, 7, 25         
                                554, 568, 578, 579    21, 16, 29, 9       
                                591, 604, 606, 606    15, 23, 4, 25       
                                608, 654, 658, 715    5, 17, 10, 16       
                                718                   12                  
хөнгөлөлт                       43, 288, 431, 642     38, 16, 7, 5        
                                682                   7                   
төрийн байгууллага              44, 72, 94, 123       11, 3, 15, 37       
                                252, 280, 481, 668    21, 7, 8, 30        
                                720, 721              6, 4                
тусгай зөвшөөрөл                44, 469, 590          17, 4, 26           
лиценз                          44, 509               16, 15              
санхүүгийн байгууллага          45                    27                  
зээл                            45, 412, 642          9, 14, 6            
хувьцаа                         45, 381, 485, 564     23, 3, 16, 12       
                                567, 591, 591, 607    24, 5, 11, 5        
                                607                   29                  
банк                            45, 476, 493, 587     26, 10, 14, 10      
инженерийн шугам сүлжээ         47                    26                  
барилга байгууламж              47, 61, 62, 279       10, 27, 12, 2       
                                470, 477, 503, 504    11, 10, 5, 4        
                                505, 594, 595, 610    8, 10, 5, 7         
                                611, 612, 613, 614    8, 7, 5, 7          
                                618, 619, 630         11, 13, 5           
авто зам                        47                    12                  
замын байгууламж                47                    22                  
урьдчилан сэргийлэх             47, 388, 416, 540     31, 12, 7, 20       
гамшиг                          47                    29                  
осол                            47                    30                  
үнэ цэн                         48, 546               2, 19               
орлого                          49, 57, 467, 470      30, 2, 6, 16        
                                476, 577, 643, 655    20, 18, 15, 24      
тал                             50, 59, 59, 74        30, 9, 16, 5        
                                78, 102, 118, 136     4, 9, 19, 6         
                                150, 151, 157, 160    11, 17, 11, 17      
                                180, 193, 195, 224    18, 18, 4, 8        
                                250, 264, 265, 298    21, 38, 5, 20       
                                315, 324, 341, 361    14, 23, 15, 8       
                                362, 367, 367, 373    21, 12, 34, 23      
                                390, 391, 410, 412    2, 4, 2, 7          
                                413, 415, 416, 417    6, 3, 2, 19         
                                443, 443, 443, 444    3, 7, 27, 5         
                                445, 445, 448, 453    6, 19, 3, 11        
                                458, 463, 464, 467    5, 3, 2, 10         
                                470, 470, 484, 484    17, 19, 6, 11       
                                486, 488, 488, 490    14, 5, 11, 11       
                                491, 492, 493, 493    4, 16, 3, 16        
                                494, 499, 519, 519    18, 14, 18, 29      
                                520, 525, 527, 528    41, 37, 21, 10      
                                530, 533, 534, 546    18, 8, 4, 4         
                                546, 589, 593, 597    24, 7, 12, 22       
                                626, 626, 626, 658    7, 10, 33, 6        
                                664, 666, 672, 699    10, 16, 11, 33      
                                700, 700, 700, 717    13, 15, 24, 10      
                                718                   2                   
талууд                          50, 59, 59, 74        30, 9, 16, 5        
                                78, 102, 118, 136     4, 9, 19, 6         
                                150, 151, 157, 160    11, 17, 11, 17      
                                180, 193, 195, 224    18, 18, 4, 8        
                                250, 264, 265, 298    21, 38, 5, 20       
                                315, 324, 341, 361    14, 23, 15, 8       
                                362, 367, 367, 373    21, 12, 34, 23      
                                390, 391, 410, 412    2, 4, 2, 7          
                                413, 415, 416, 417    6, 3, 2, 19         
                                443, 443, 443, 444    3, 7, 27, 5         
                                445, 445, 448, 453    6, 19, 3, 11        
                                458, 463, 464, 467    5, 3, 2, 10         
                                470, 470, 484, 484    17, 19, 6, 11       
                                486, 488, 488, 490    14, 5, 11, 11       
                                491, 492, 493, 493    4, 16, 3, 16        
                                494, 499, 519, 519    18, 14, 18, 29      
                                520, 525, 527, 528    41, 37, 21, 10      
                                530, 533, 534, 546    18, 8, 4, 4         
                                546, 589, 593, 597    24, 7, 12, 22       
                                626, 626, 626, 658    7, 10, 33, 6        
                                664, 666, 672, 699    10, 16, 11, 33      
                                700, 700, 700, 717    13, 15, 24, 10      
                                718                   2                   
бусад этгээд                    51, 411, 668          33, 5, 16           
захиргаа                        51, 51, 95, 96        12, 19, 7, 5        
                                97, 99, 102, 112      10, 16, 15, 16      
                                116, 117, 121, 121    8, 6, 5, 39         
                                122, 127, 128, 131    31, 7, 8, 8         
                                138, 149, 151, 154    15, 8, 25, 10       
                                159, 162, 163, 235    15, 22, 13, 13      
                                244, 246, 246, 247    5, 14, 31, 8        
                                251, 252, 263, 268    7, 14, 14, 24       
                                284, 284, 285, 285    5, 36, 6, 36        
                                286, 290, 290, 291    6, 5, 13, 16        
                                292, 294, 296, 297    7, 5, 25, 5         
                                297, 299, 314, 318    20, 7, 5, 25        
                                319, 321, 321, 324    5, 13, 20, 15       
                                327, 333, 349, 362    5, 15, 11, 5        
                                362, 363, 363, 364    14, 10, 28, 5       
                                367, 370, 372, 372    5, 5, 5, 35         
                                373, 374, 374, 387    6, 6, 19, 5         
                                408, 442, 443, 450    8, 19, 17, 8        
                                456, 456, 511, 518    6, 14, 12, 6        
                                518, 525, 525, 625    15, 42, 51, 29      
                                637, 652, 655, 659    7, 12, 5, 5         
                                664, 665, 668, 669    20, 6, 11, 8        
                                670, 672, 676, 678    5, 5, 6, 5          
                                679, 680, 686, 686    27, 3, 8, 32        
                                687, 699, 699, 703    5, 12, 25, 24       
                                711                   13                  
байгууллага                     51, 51, 56, 95        14, 21, 27, 9       
                                96, 97, 99, 102       7, 12, 18, 17       
                                112, 116, 117, 121    18, 10, 8, 7        
                                121, 122, 127, 128    41, 33, 9, 10       
                                131, 138, 149, 151    10, 17, 10, 27      
                                154, 159, 162, 163    12, 17, 24, 15      
                                235, 244, 246, 246    15, 7, 16, 33       
                                247, 251, 252, 263    10, 9, 16, 16       
                                265, 268, 272, 284    12, 26, 2, 7        
                                284, 285, 285, 286    38, 8, 38, 8        
                                290, 290, 291, 292    7, 15, 18, 9        
                                294, 296, 297, 297    7, 27, 7, 22        
                                299, 314, 318, 319    9, 7, 27, 7         
                                321, 321, 324, 327    15, 22, 17, 7       
                                333, 341, 349, 356    17, 5, 13, 6        
                                362, 362, 363, 363    7, 16, 12, 30       
                                364, 367, 370, 372    7, 7, 7, 7          
                                372, 373, 374, 374    37, 8, 8, 21        
                                387, 387, 406, 408    7, 17, 5, 10        
                                443, 443, 450, 456    19, 24, 10, 8       
                                456, 511, 516, 518    16, 14, 3, 8        
                                518, 525, 525, 543    17, 44, 53, 3       
                                544, 566, 567, 625    3, 2, 2, 31         
                                637, 642, 652, 655    9, 3, 14, 7         
                                659, 664, 665, 668    7, 22, 8, 13        
                                669, 670, 671, 672    10, 7, 16, 7        
                                676, 678, 679, 680    8, 7, 29, 5         
                                686, 686, 687, 699    10, 34, 7, 17       
                                699, 701, 703, 705    27, 9, 26, 4        
                                706, 706, 711         12, 19, 15          
эрчим хүч                       52                    14                  
эрүүл мэнд                      52                    18                  
иргэн                           52, 52, 59, 142       4, 27, 25, 5        
                                143, 148, 265, 442    3, 9, 8, 13         
                                453                   18                  
стандарт                        52, 89, 106, 141      34, 6, 6, 15        
                                229, 471, 475, 477    14, 11, 9, 23       
                                505, 592, 612, 621    6, 11, 21, 11       
                                653, 696              12, 17              
шуудан                          53, 53, 194, 263      12, 14, 8, 36       
                                263                   38                  
төсөвт үзүүлэх нөлөө            54                    7                   
эрсдэлийн үнэлгээ               54, 284, 648          2, 13, 8            
төслийн бүрэн шинжилгээ         55, 79, 87, 92        9, 4, 3, 3          
                                99, 120, 121, 125     5, 2, 11, 3         
                                179, 180, 193, 249    2, 3, 3, 4          
                                250, 251, 266, 284    33, 11, 3, 9        
                                285, 294, 306, 420    10, 11, 4, 3        
                                425, 648              4, 5                
түншлэлийн эх төсөл             55, 63, 261, 277      12, 24, 8, 15       
сан                             55, 55, 100, 164      4, 47, 4, 7         
                                387, 587, 635, 636    19, 15, 6, 32       
                                652, 655, 655, 676    4, 8, 23, 25        
үнэлгээ                         55, 63, 97, 98        8, 11, 19, 2        
                                119, 130, 131, 133    12, 5, 2, 2         
                                158, 158, 161, 178    5, 17, 3, 19        
                                204, 205, 215, 226    4, 2, 5, 4          
                                243, 245, 246, 248    7, 12, 21, 6        
                                256, 297, 298, 303    12, 14, 14, 20      
                                308, 308, 314, 316    14, 18, 21, 13      
                                371, 400, 480, 667    20, 14, 11, 11      
                                702, 703, 706, 706    7, 11, 11, 22       
мэргэжил                        55, 103, 157, 158     23, 17, 12, 21      
                                161, 163, 252, 377    5, 18, 53, 6        
                                649                   5                   
баримт бичиг                    56, 64, 75, 88        2, 3, 6, 11         
                                89, 141, 166, 220     11, 9, 9, 7         
                                323, 338, 339, 353    11, 11, 3, 12       
                                354, 355, 386         3, 7, 10            
түншлэлийн гэрээ                56, 65, 92, 101       5, 7, 8, 7          
                                113, 122, 125, 140    10, 12, 8, 8        
                                152, 182, 213, 241    9, 6, 3, 7          
                                309, 363, 369, 372    23, 21, 7, 20       
                                373, 374, 374, 374    25, 9, 22, 31       
                                393, 440, 445, 451    11, 1, 12, 18       
                                516, 551, 578, 611    7, 11, 38, 15       
                                612, 676, 676         24, 10, 15          
барилгын гэрээ                  56                    7                   
техникийн хяналт                56                    29                  
ашиглалт                        56, 276, 503, 505     24, 11, 9, 10       
                                554, 594, 595, 610    8, 12, 7, 9         
                                612, 613, 614, 619    11, 7, 10, 15       
                                693                   7                   
хэрэглэгчийн төлбөр             57, 85, 174, 177      4, 3, 4, 19         
                                179, 278, 472, 597    6, 7, 9, 12         
                                597, 598, 599, 690    29, 21, 7, 6        
төслийн орлого                  57, 174, 177          13, 8, 23           
компани                         58, 58, 65, 381       3, 24, 19, 5        
                                382, 418, 443, 562    4, 20, 34, 11       
                                563, 567, 568, 569    5, 19, 13, 3        
                                569, 591, 607, 695    9, 4, 4, 7          
                                696, 697              7, 7                
үл хөдлөх эд хөрөнгө            60, 589, 589          16, 17, 23          
эд хөрөнгө                      60, 379, 461, 576     7, 11, 11, 8        
                                578                   16                  
