монгол улсын нутаг дэвсгэр      19, 36, 37, 57        15, 15, 15, 17      
                                200, 309              48, 14              
хуулийн этгээд                  19, 33, 37, 43        3, 24, 44, 11       
                                63, 66, 68, 71        13, 15, 3, 3        
                                85, 124, 191, 226     24, 13, 8, 9        
                                232, 259, 263         6, 3, 10            
хүн                             19, 27, 28, 30        2, 19, 22, 15       
                                32, 33, 51, 63        8, 23, 19, 12       
                                66, 68, 71, 72        14, 2, 2, 11        
                                124, 201, 226, 259    12, 25, 8, 2        
                                263                   9                   
бараа                           19, 23, 25, 26        20, 2, 3, 16        
                                34, 34, 36, 36        15, 72, 19, 26      
                                37, 38, 39, 41        19, 39, 37, 4       
                                43, 45, 46, 46        15, 11, 12, 20      
                                54, 57, 66, 76        5, 22, 7, 4         
                                77, 78, 79, 80        4, 6, 7, 8          
                                81, 82, 85, 89        9, 7, 47, 3         
                                90, 104, 122, 123     9, 6, 6, 13         
                                125, 130, 132, 137    3, 2, 16, 2         
                                148, 149, 153, 154    6, 5, 4, 10         
                                171, 172, 173, 200    15, 24, 15, 21      
                                200, 201, 204, 244    54, 22, 12, 6       
                                250, 250, 253, 260    13, 38, 20, 10      
                                262, 266, 273, 274    23, 10, 6, 6        
                                276, 278, 279, 280    2, 8, 15, 6         
                                280, 281, 288, 289    15, 11, 14, 11      
                                291, 305, 309, 310    11, 4, 20, 16       
                                319, 325, 326, 327    5, 7, 4, 12         
                                329, 351              8, 6                
ажил                            19, 22, 24, 25        21, 7, 9, 5         
                                34, 36, 36, 37        73, 21, 27, 21      
                                38, 39, 41, 43        40, 38, 5, 16       
                                45, 46, 51, 54        13, 21, 2, 6        
                                55, 56, 57, 63        2, 2, 23, 15        
                                65, 66, 76, 77        13, 8, 5, 5         
                                78, 79, 80, 81        7, 8, 9, 10         
                                82, 104, 113, 122     8, 7, 2, 7          
                                123, 130, 132, 136    14, 3, 17, 2        
                                137, 138, 140, 148    3, 2, 2, 7          
                                149, 153, 189, 200    6, 5, 4, 12         
                                200, 200, 244, 248    22, 41, 7, 2        
                                250, 253, 260, 262    39, 21, 11, 24      
                                266, 273, 274, 276    11, 8, 7, 3         
                                278, 279, 280, 280    9, 16, 7, 16        
                                281, 288, 289, 291    12, 15, 13, 12      
                                295, 305, 309, 309    12, 5, 7, 21        
                                310, 311, 311, 312    17, 19, 54, 13      
                                319, 325, 326, 327    6, 8, 5, 13         
                                329, 349, 351         9, 2, 7             
үйлчилгээ                       19, 22, 34, 36        22, 9, 74, 23       
                                36, 37, 38, 39        28, 23, 41, 39      
                                40, 41, 43, 45        7, 6, 17, 15        
                                46, 51, 54, 55        22, 3, 7, 3         
                                56, 57, 66, 76        3, 24, 9, 6         
                                77, 78, 79, 80        6, 8, 9, 10         
                                81, 82, 86, 87        11, 9, 2, 2         
                                90, 91, 96, 97        13, 13, 11, 19      
                                99, 102, 103, 103     3, 6, 5, 19         
                                104, 113, 122, 123    8, 3, 8, 15         
                                124, 126, 130, 131    9, 6, 4, 2          
                                132, 136, 137, 138    18, 3, 4, 3         
                                140, 141, 148, 149    3, 12, 8, 7         
                                153, 155, 156, 156    6, 33, 10, 12       
                                157, 157, 158, 158    8, 14, 19, 30       
                                161, 164, 200, 200    13, 7, 23, 58       
                                214, 215, 216, 217    2, 3, 14, 9         
                                218, 219, 221, 222    12, 34, 3, 13       
                                223, 225, 226, 228    43, 15, 20, 3       
                                229, 230, 231, 232    3, 5, 8, 20         
                                232, 233, 234, 237    32, 5, 2, 3         
                                239, 241, 242, 244    2, 3, 3, 8          
                                247, 247, 248, 250    5, 16, 3, 40        
                                251, 253, 260, 260    24, 22, 6, 12       
                                261, 262, 266, 273    4, 25, 12, 10       
                                274, 276, 278, 279    8, 4, 10, 8         
                                279, 280, 280, 281    17, 8, 17, 13       
                                288, 288, 288, 288    7, 16, 37, 45       
                                289, 291, 305, 309    14, 13, 6, 22       
                                310, 319, 325, 326    18, 7, 9, 6         
                                327, 329, 342, 349    14, 10, 5, 3        
                                351                   8                   
тодорхойлолт                    20                    6                   
хэрэглэгч                       21, 152, 184          3, 8, 3             
гүйцэтгэгч                      22, 24, 36, 37        8, 10, 22, 22       
                                45, 226, 251, 251     14, 12, 14, 22      
                                273                   9                   
хөрөнгө                         23, 23, 59, 59        4, 8, 18, 22        
                                191, 222, 241, 242    18, 8, 2, 2         
                                250, 266, 266, 269    31, 2, 16, 7        
иргэн                           24, 43, 58, 85        3, 10, 9, 27        
                                174, 181, 182         3, 35, 35           
үйл ажиллагаа                   25, 26, 26, 33        9, 3, 22, 16        
                                33, 36, 37, 43        27, 35, 26, 31      
                                45, 46, 68, 71        6, 6, 5, 38         
                                83, 98, 116, 117      3, 3, 26, 9         
                                123, 162, 219, 232    6, 18, 28, 3        
                                281, 283, 283, 344    3, 9, 19, 4         
                                346, 346, 347         9, 14, 7            
ажил гүйцэтгэх, үйлчилгээ үзүүлэх  26, 89, 125           18, 5, 5            
оршин суугч бус                 27, 30, 157, 162      4, 25, 3, 9         
аж ахуйн нэгж                   27, 28, 30, 57        8, 4, 5, 12         
                                223, 334              12, 19              
орлого                          27, 27, 28, 28        11, 20, 7, 23       
                                30, 30, 33, 57        8, 16, 19, 4        
                                68, 71, 71, 116       15, 17, 19, 7       
                                183, 223, 235, 288    11, 15, 7, 27       
                                288                   33                  
этгээд                          27, 36, 37, 45        30, 25, 25, 10      
                                46, 53, 59, 65        10, 24, 17, 8       
                                65, 73, 90, 105       23, 7, 7, 2         
                                127, 157, 162, 244    12, 6, 12, 10       
                                249, 254, 289, 310    11, 11, 10, 8       
                                315, 329, 342, 358    5, 18, 7, 4         
байнга оршин суугч              28, 172               32, 5               
аж ахуйн үйл ажиллагаа          32, 51, 106           15, 7, 2            
борлуулалтын орлого             33, 53, 57, 59        29, 3, 25, 6        
                                61, 68, 137           5, 7, 5             
олон улсын байгууллага          34, 34, 34, 173       5, 39, 60, 5        
                                250, 250, 253         5, 25, 9            
хүмүүнлэгийн тусламж            34, 173, 250          53, 10, 16          
зах зээл                        34, 122, 123, 126     67, 16, 18, 21      
                                129, 132, 219, 219    12, 7, 3, 13        
                                250, 310              33, 12              
газар                           34, 34, 34, 34        4, 34, 38, 59       
                                57, 117, 118, 151     16, 18, 16, 22      
                                159, 165, 172, 173    2, 16, 13, 4        
                                175, 178, 179, 181    18, 6, 6, 4         
                                182, 200, 200, 207    4, 10, 39, 15       
                                208, 230, 250, 250    15, 8, 4, 24        
                                250, 251, 251, 252    51, 2, 6, 6         
                                253, 253, 254, 263    4, 8, 19, 4         
                                309, 313, 314, 334    5, 27, 25, 36       
                                342, 346              15, 22              
хөнгөлөлт                       34, 173, 250          12, 12, 18          
зээл                            34, 173, 191, 223     13, 13, 25, 8       
                                223, 223, 250         10, 36, 19          
гамшиг                          34                    24                  
төлбөр                          34, 37, 38, 39        46, 30, 47, 45      
                                40, 40, 40, 41        3, 22, 27, 16       
                                41, 41, 42, 45        28, 41, 16, 17      
                                46, 89, 96, 114       16, 2, 6, 8         
                                115, 124, 125, 141    15, 5, 2, 21        
                                216, 248, 286, 314    6, 12, 9, 9         
                                329, 348, 348, 349    6, 5, 10, 7         
                                350, 353, 354, 355    4, 12, 5, 5         
төлбөр тооцоо                   35, 38, 39            9, 8, 5             
мэдээлэл цуглуулах              36, 45                31, 19              
зохион байгуулагч               36, 346               37, 11              
захиргааны байгууллага          36, 72, 74, 295       43, 20, 29, 29      
                                307, 310, 311, 354    38, 37, 5, 25       
систем                          36, 37, 37, 43        2, 2, 42, 2         
                                45, 45, 46, 46        2, 24, 2, 31        
                                343, 344, 345, 345    2, 2, 2, 6          
                                350, 355              2, 2                
хариуцагч                       36, 343               3, 3                
нэгдсэн систем                  37, 39, 46, 350       34, 17, 23, 12      
                                351                   25                  
тоног төхөөрөмж                 37, 38, 39, 42        39, 56, 54, 38      
                                46, 174, 178, 179     28, 9, 18, 18       
                                181, 182, 185, 195    16, 16, 5, 14       
                                199, 202, 205         10, 30, 8           
дахин давтагдашгүй төлбөрийн дугаар  38, 39                15, 12              
татвар төлөгчийн дугаар         38, 39, 40            34, 32, 13          
мэдээлэл                        38, 39, 41, 41        53, 51, 18, 34      
                                42, 43, 43, 72        15, 9, 18, 25       
                                337, 345, 348, 350    8, 4, 7, 6          
                                351, 355, 358         21, 7, 2            
агуулах                         38, 39, 41, 46        54, 52, 19, 13      
суутган төлөгч                  39, 44, 50, 53        22, 5, 8, 27        
                                67, 70, 73, 74        3, 16, 11, 14       
                                85, 85, 85, 105       3, 22, 44, 14       
                                273, 274, 275, 288    3, 3, 3, 3          
                                289, 291, 294, 325    3, 3, 3, 3          
                                326, 347, 351, 352    12, 3, 3, 3         
                                353, 354              3, 3                
төлөөлөгчийн газар              40                    17                  
салбар                          40, 40, 116, 117      16, 20, 28, 11      
                                151, 172              18, 19              
төлбөр төлөгч                   41, 329               9, 15               
төлбөрийн карт                  41                    29                  
бүртгэлийн хэрэгсэл             41                    43                  
борлуулалт                      41, 42, 43, 46        11, 8, 8, 14        
                                54, 59, 135, 148      8, 23, 5, 9         
                                274, 350, 351         9, 11, 9            
байгууллага                     41, 171, 172, 175     26, 2, 16, 14       
                                181, 182, 229, 230    34, 34, 2, 2        
                                251, 251, 311, 312    4, 15, 65, 8        
                                331, 333, 333, 336    2, 4, 34, 14        
төлбөрийн баримт                42, 138, 141, 273     9, 5, 17, 14        
                                353, 353, 354         5, 16, 11           
бүртгэлийн систем               42, 70, 307           18, 19, 24          
бүртгэлийн машин                43, 306               23, 4               
мэдээллийн сан                  43, 351               28, 18              
гэрчилгээ                       44, 65, 67, 69        20, 24, 21, 12      
                                70, 71, 74, 135       11, 53, 10, 12      
татвар төлөгч                   50                    4                   
нэгж                            57                    3                   
нэмэгдэл                        58                    14                  
тэтгэвэр                        58                    15                  
тэтгэмж                         58                    16                  
анхан шатны баримт              61                    12                  
татварын алба                   65, 71, 129, 284      2, 45, 8, 21        
                                295                   2                   
зохиогч                         67                    6                   
тохиолдол                       67, 129, 288, 289     11, 2, 39, 16       
                                301, 302              11, 11              
өргөдөл                         69, 262               9, 6                
шуудан                          70, 91, 141, 161      21, 8, 6, 10        
                                269                   8                   
хуулийн этгээдийн нэр           72                    12                  
цахим хуудас                    72                    27                  
журам                           74, 109, 110, 112     24, 4, 4, 5         
                                118, 120, 250, 293    10, 7, 45, 10       
                                313, 314, 325, 330    21, 19, 15, 7       
                                342, 346              9, 16               
хувьцаа                         85, 218, 223          37, 3, 25           
зам                             89, 101, 125          9, 5, 9             
бусад этгээд                    90, 327, 355          3, 3, 10            
гүйцэтгэх ажил                  90, 200               10, 55              
ариутгах татуурга               91                    6                   
ус                              91                    4                   
түрээслүүлэх                    92, 93, 94, 95        2, 8, 6, 19         
эд хөрөнгө                      94, 217               4, 6                
бүтээгдэхүүний загвар           95                    3                   
ашигтай загвар                  95                    5                   
барааны тэмдэг                  95                    13                  
хөрөнгийн мэдээлэл              95                    16                  
бүтээл                          95, 95                2, 10               
ноу-хау                         95                    15                  
зуучлагч                        97, 97, 271           8, 9, 31            
комисс                          97                    14                  
хүү                             98, 222, 223, 223     6, 10, 11, 22       
                                223                   33                  
торгууль                        98                    7                   
алданги                         98                    8                   
үнэлгээ                         99, 119, 120, 121     2, 6, 4, 6          
                                122, 123, 124, 127    12, 11, 18, 15      
                                129, 133, 148, 150    6, 4, 10, 12        
хэлцэл                          101                   13                  
хангагч                         104, 175, 298, 301    15, 7, 7, 10        
                                302, 344              10, 6               
хэлэлцээр                       115, 181, 182         10, 39, 39          
гишүүн                          117, 118, 250, 313    19, 17, 52, 28      
                                314, 342, 346         26, 16, 23          
гаалийн тариф                   121                   7                   
гаалийн татвар                  121                   9                   
гаалийн үнэ                     121                   16                  
тариф                           122, 123, 126, 129    19, 21, 24, 15      
                                130, 132              6, 14               
оролцогч                        124                   19                  
хамаарал бүхий этгээд           132                   2                   
гадаад валют                    133                   5                   
гадаадын валют                  133                   5                   
нэхэмжлэл                       138, 216, 275         7, 7, 12            
гаалийн байгууллага             143, 154, 337         7, 7, 9             
үйлдвэрлэгч                     150, 151, 159, 192    4, 4, 6, 15         
                                195, 195, 245, 246    5, 6, 8, 8          
                                263, 263, 316         34, 47, 2           
түлш                            150, 151, 185, 334    8, 8, 2, 10         
                                334, 335              25, 28              
монгол улсын хил                155, 164              20, 10              
зорчигч                         155, 164              29, 3               
ачаа                            155, 164              31, 5               
нислэг                          158, 158, 158         3, 13, 21           
удирдлага                       158                   15                  
нисэх                           158                   23                  
бүтээгдэхүүн                    160, 165, 181, 182    4, 10, 42, 42       
                                189, 190, 194, 316    6, 10, 14, 3        
                                335                   3                   
үл хөдлөх хөрөнгө               161                   7                   
тээвэрлэлт                      164                   16                  
ашигт малтмал                   165, 190              7, 8                
автотээврийн хэрэгсэл           174                   11                  
шүүхийн шийдвэр                 175                   8                   
аюул                            175                   5                   
агаарын хөлөг                   178, 179              2, 2                
тайлбар                         181, 182              1, 1                
цус, цусан бүтээгдэхүүн         184                   4                   
тусгай зориулалтын компани      191                   11                  
үнэт цаас гаргагч               191                   20                  
санхүүгийн байгууллага          191, 223              4, 5                
банк                            191, 191, 216, 223    2, 10, 13, 3        
компани                         191, 335              17, 11              
үр тариа                        192                   7                   
хүнс                            192, 194, 263         10, 11, 41          
дайвар бүтээгдэхүүн             193                   19                  
үйлдвэрлэл-үйлчилгээний зориулалт  195                   11                  
бараа бүтээгдэхүүн              196                   8                   
төсөл                           196, 254, 254, 254    2, 5, 12, 15        
шуудангийн илгээмж              201                   31                  
газрын тостой холбогдсон үйл ажиллагаа  202                   10                  
туслан гүйцэтгэгч               202                   3                   
газрын тос                      202, 203              6, 13               
хайгуул                         202, 268              16, 6               
ашиглалт                        202                   20                  
бусад газар                     203                   5                   
тайлан                          203, 294, 325         9, 12, 29           
эрчим хүч                       205                   2                   
вексель                         216                   9                   
давхар даатгал                  217                   4                   
санхүүгийн хэрэгсэл             219                   9                   
эрүүл мэндийн даатгалын сан     222                   3                   
үнэт цаас                       223                   26                  
хураамж                         223, 223              38, 41              
ашиглагдаж байгаа байр          225                   7                   
мэргэжлийн сургалт              226                   3                   
мэргэжил                        226                   18                  
төсвийн байгууллага             230                   11                  
төрийн үйлчилгээ                230                   15                  
нийтийн тээвэр                  231                   6                   
аялал жуулчлалын байгууллага    232                   10                  
гэрээ                           232, 283              13, 14              
сангийн хөрөнгө оруулалтын орлого  235                   10                  
улсын  төсөв                    235, 316              4, 20               
улсын төсөв                     235, 316              4, 20               
сан                             235, 345              3, 7                
эмнэлэг                         237                   2                   
эмнэлгийн багаж                 245, 246              4, 4                
эм                              245, 246              2, 2                
зочид буудал                    247                   14                  
ресторан                        247                   9                   
жуулчин                         247                   10                  
тээвэрлэгч                      247                   11                  
мөрдөгч                         250, 360              44, 11              
шийдвэр                         251, 312, 334         7, 21, 37           
ажилгүй                         263                   2                   
мал                             263                   39                  
үйл ажиллагааны зардал          268                   7                   
хоршоо                          271                   22                  
нэмэгдсэн өртгийн албан татварын падаан  273, 274, 275, 351    23, 11, 13, 11      
хүсэлт                          294, 295, 310, 311    7, 8, 24, 14        
шалгагч                         295                   17                  
санал                           295, 307, 311, 311    23, 32, 15, 53      
                                312                   9                   
захиргаа                        311, 312, 333         63, 6, 32           
баталгаажуулах                  313                   15                  
төрийн сангийн нэгдсэн данс     325, 332              21, 11              
гаалийн бүрдүүлэлт              327                   9                   
арга хэмжээ                     331                   21                  
компанийн нөөц                  334, 334, 335         16, 39, 15          
тусгай зөвшөөрөл эзэмшигч       335                   8                   
хэрэглэгчийн систем             341, 342, 348, 352    5, 3, 8, 5          
эрх бүхий этгээд                345                   12                  
тал                             354                   20                  
талууд                          354                   20                  
даруй                           354                   32                  
дамжуулагч                      358                   3                   
