	id	leg_term	desc	pos_tag	term_root
25	8400023	түлш	цахилгаан, дулаан үйлдвэрлэхэд ашиглагдах бүх төрлийн нүүрс, занар, мазут, газрын тос, уран ба торийн хүдэр, тэдгээрийн дагавар бүтээгдэхүүн болон баяжмал, байгаль дээр оршиж байгаа биомасс, бусад органик материал, хийн түлшийг	NM	түлш
24	1560020	осол	уул уурхай, үйлдвэрлэл, технологийн горим зөрчигдсөнөөс тоног төхөөрөмж, барилга байгууламж ноцтой эвдрэх, нурах, тээврийн хэрэгсэл осолдох, сүйрэх, цацраг идэвхт болон химийн хорт бодис алдагдах, дэлбэрэлт болох зэргийг	NM	осол
24	1560020	осл	уул уурхай, үйлдвэрлэл, технологийн горим зөрчигдсөнөөс тоног төхөөрөмж, барилга байгууламж ноцтой эвдрэх, нурах, тээврийн хэрэгсэл осолдох, сүйрэх, цацраг идэвхт болон химийн хорт бодис алдагдах, дэлбэрэлт болох зэргийг	NM	осол
23	6600021	ачаа	усан замын тээврийн хэрэгслээр тээвэрлэж байгаа эд зүйлсийг	NM	ачаа
22	4350018	баар	хөгжим, гэрэлтүүлэг болон тусгай зориулалтын бусад төхөөрөмжөөр тоноглогдсон, үйлчлүүлэгчийн амралт, чөлөөт цагийг тав тухтай өнгөрүүлэхэд зориулагдсан, төрөл бүрийн ундаа, хөнгөн зууш, амттанаар үйлчилдэг үйлчилгээний газрыг	NM	баар
21	690020	банк	хувьцаа эзэмшигчдийн оруулсан мөнгөн хөрөнгөөс бүрдсэн хувь нийлүүлсэн хөрөнгөтэй, хувьцаа эзэмшигч нь эзэмшиж байгаа хувьцааны хэмжээгээр хариуцлага хүлээдэг, бусдын мөнгөн хөрөнгийг хуримтлуулан хадгалж, өөрийн нэрийн өмнөөс зээл олгох, төлбөр тооцоо хийх зэрэг санхүүгийн зуучлалын үйл ажиллагааг монголбанкны зөвшөөрөлтэйгээр эрхэлдэг, ашгийн төлөө хуулийн этгээдийг	NM	банк
20	5630013	хөрс	хөрс хамгаалах, цөлжилтөөс сэргийлэх тухай хуулийн 411-д заасныг	NM	хөрс
19	3300017	нэгж	аймаг, сум, баг, нийслэл, дүүрэг, хороог	NM	нэгж
18	250024	аюул	амьтан, ургамал, тэдгээрийн гаралтай түүхий эд, бүтээгдэхүүнээс хүн ам, амьтан, ургамлын эрүүл мэндэд сөрөг нөлөө үзүүлж болох ямар нэгэн эмгэг төрүүлэгч зүйлийг	NM	аюул
17	2660014	кино	техник технологи ашиглан олон нийтэд түгээх зорилгоор дуу авиа дагалдсан эсэхээс үл хамааран хоорондоо холбоотой цуврал дүрсийг хөдөлгөөнт хэлбэрт оруулан үзэх боломжтой аргаар туурвисан бүтээлийг	NM	кино
17	2660014	кин	техник технологи ашиглан олон нийтэд түгээх зорилгоор дуу авиа дагалдсан эсэхээс үл хамааран хоорондоо холбоотой цуврал дүрсийг хөдөлгөөнт хэлбэрт оруулан үзэх боломжтой аргаар туурвисан бүтээлийг	NM	кино
26	5840025	овор	хөдөлгөөний аюулгүй байдал, аюулгүйн техникийн шаардлагын дагуу төмөр замын объект, хөдлөх бүрэлдэхүүн, төмөр замын ойролцоох барилга байгууламж, ачаа байршлын зайн хязгаарыг тогтоосон хэмжээг	NM	овор
26	5840025	овр	хөдөлгөөний аюулгүй байдал, аюулгүйн техникийн шаардлагын дагуу төмөр замын объект, хөдлөх бүрэлдэхүүн, төмөр замын ойролцоох барилга байгууламж, ачаа байршлын зайн хязгаарыг тогтоосон хэмжээг	NM	овор
15	1650018	овог	нэг өвөг дээдсээс гаралтай эцгийн талын холбоо бүхий бүлэг хүмүүсийн дунд үе уламжлан хэрэглэгддэг нэрийг	NM	овог
15	1650018	овг	нэг өвөг дээдсээс гаралтай эцгийн талын холбоо бүхий бүлэг хүмүүсийн дунд үе уламжлан хэрэглэгддэг нэрийг	NM	овог
14	1470021	эрэл	тодорхой нутаг дэвсгэрт газрын тос, уламжлалт бус газрын тосны хэтийн төлөвийг тогтоох зорилгоор гүйцэтгэх геологи, геохими, геофизикийн тойм судалгааны ажлыг	NM	эрэл
14	1470021	эрл	тодорхой нутаг дэвсгэрт газрын тос, уламжлалт бус газрын тосны хэтийн төлөвийг тогтоох зорилгоор гүйцэтгэх геологи, геохими, геофизикийн тойм судалгааны ажлыг	NM	эрэл
13	3830015	шүүх	монгол улсын үндсэн хууль болон энэ хуульд заасны дагуу байгуулагдан хэрэг, маргааныг хянан шийдвэрлэж, заавал биелүүлэх шийдвэр гаргадаг шүүгч, шүүх бүрэлдэхүүнийг	NM	шүүх
9	333	гэрч	захиргааны хэргийн шүүхээс маргааныг шударгаар шийдвэрлэхэд ач холбогдол бүхий байдлыг мэдэж байгаа этгээд	NM	гэрч
10	823	сууц	нийтийн зориулалттай орон сууцны байшин дахь нэг гэр бүл аж төрөхөд зориулагдсан нэг буюу хэд хэдэн өрөө бүхий цогцолбор	NM	сууц
12	886	тээш	тогтоосон журмын дагуу зорчигчийн галт тэргээр тээвэрлэж байгаа эд зүйлс	NM	тээш
16	5660021	сорт	генотип болон түүний хослолын дүнд бий болсон тогтвортой онцлог шинжийн илэрхийллээрээ бусад сортоос ялгарсан ботаникийн нэг бүлгэмдлийн доторх ургамлын бүлгийг	NM	сорт
39	7310025	даруй	боломжит богино хугацааг	NM	даруй
40	1400019	уригч	гадаадын иргэнийг монгол улсад оршин суухад шаардагдах хөрөнгийн эх үүсвэрийн баталгааг гаргаж түүнийг урьсан монгол улсын иргэн, аж ахуйн нэгж, байгууллага болон тус улсад хууль ёсоор 90 хоногоос дээш хугацаагаар оршин суугаа гадаадын иргэнийг	NM	уригч
41	4360021	бэлэг	нийтийн албан тушаалтанд үнэ төлбөргүй эд хөрөнгө өгөх, үйлчилгээ үзүүлэх болон эрх шилжүүлэх, үүргээс чөлөөлөх, нийтийн албан тушаалтантай хамаарал бүхий этгээдийн тусын тулд эрхээс татгалзах зэрэг бусад хэлбэрийн санхүүгийн үр ашгийг	NM	бэлэг
41	4360021	бэлг	нийтийн албан тушаалтанд үнэ төлбөргүй эд хөрөнгө өгөх, үйлчилгээ үзүүлэх болон эрх шилжүүлэх, үүргээс чөлөөлөх, нийтийн албан тушаалтантай хамаарал бүхий этгээдийн тусын тулд эрхээс татгалзах зэрэг бусад хэлбэрийн санхүүгийн үр ашгийг	NM	бэлэг
42	3180023	эвсэл	монгол улсын үндсэн хуулийн гучин нэгдүгээр зүйлийн 2 дахь хэсэгт заасны дагуу монгол улсын ерөнхийлөгчийн сонгуульд хамтран оролцож байгаа улсын их хуралд суудал бүхий намыг	NM	эвсэл
42	3180023	эвсл	монгол улсын үндсэн хуулийн гучин нэгдүгээр зүйлийн 2 дахь хэсэгт заасны дагуу монгол улсын ерөнхийлөгчийн сонгуульд хамтран оролцож байгаа улсын их хуралд суудал бүхий намыг	NM	эвсэл
43	7920018	грант	иргэн, хуулийн этгээд, гадаадын болон олон улсын байгууллага урьдчилсан нөхцөл, болзол тавьсаны үндсэн дээр тодорхой судалгаа, шинжилгээний ажил явуулах зориулалтаар шинжлэх ухааны үйл ажиллагаанд оролцогчдод буцалтгүй олгож байгаа мөнгөн болон бусад хөрөнгийг	NM	грант
46	6140027	төсөв	төрийн болон орон нутгийн чиг үүргийг хэрэгжүүлэхэд шаардагдах санхүүгийн эх үүсвэрийг бий болгох зорилгоор төрийн мэдэлд хуримтлуулан хуваарилж, зарцуулах хөрөнгө, орлого, зарлага, өр, төлбөр, санхүүгийн амлалт болон үүрэг, тэдгээртэй холбогдсон санхүүгийн үйл ажиллагаа, хэрэгжүүлэх арга хэмжээ, түүнд шаардагдах орц, хүрэх үр дүнгийн нийлбэр цогцыг	NM	төсөв
46	6140027	төсв	төрийн болон орон нутгийн чиг үүргийг хэрэгжүүлэхэд шаардагдах санхүүгийн эх үүсвэрийг бий болгох зорилгоор төрийн мэдэлд хуримтлуулан хуваарилж, зарцуулах хөрөнгө, орлого, зарлага, өр, төлбөр, санхүүгийн амлалт болон үүрэг, тэдгээртэй холбогдсон санхүүгийн үйл ажиллагаа, хэрэгжүүлэх арга хэмжээ, түүнд шаардагдах орц, хүрэх үр дүнгийн нийлбэр цогцыг	NM	төсөв
45	1790020	ахмад	далай ашиглах үйл ажиллагааг аюулгүй хэрэгжүүлэхийн тулд хөлөг онгоц, багийн бүрэлдэхүүнийг хөлөг онгоцны өмчлөгч, эзэмшигчийн өмнө хариуцан удирдаж байгаа этгээдийг	NM	ахмад
45	1790020	ахмд	далай ашиглах үйл ажиллагааг аюулгүй хэрэгжүүлэхийн тулд хөлөг онгоц, багийн бүрэлдэхүүнийг хөлөг онгоцны өмчлөгч, эзэмшигчийн өмнө хариуцан удирдаж байгаа этгээдийг	NM	ахмад
38	6700016	шугам	мэдээлэл нэвтрүүлэх, дамжуулах, хүлээн авах зорилгоор байгуулсан аливаа дамжуулагч орчин /утас, радио долгион, орон зай зэрэг/, тэдгээрийг хамгаалахад хэрэглэдэг тусгаарлагч, сувагчлал, багана, цамхаг, байр, талбай болон бусад зүйлсийн цогцолборыг	NM	шугам
38	6700016	шугм	мэдээлэл нэвтрүүлэх, дамжуулах, хүлээн авах зорилгоор байгуулсан аливаа дамжуулагч орчин /утас, радио долгион, орон зай зэрэг/, тэдгээрийг хамгаалахад хэрэглэдэг тусгаарлагч, сувагчлал, багана, цамхаг, байр, талбай болон бусад зүйлсийн цогцолборыг	NM	шугам
47	1480013	газар	газрын гадаргуу, түүний хөрс, ой, ус, ургамал бүхий орон зайн давхаргыг	NM	газар
47	1480013	газр	газрын гадаргуу, түүний хөрс, ой, ус, ургамал бүхий орон зайн давхаргыг	NM	газар
48	3950015	музей	соёлын үнэт зүйлийг бүртгэх, цуглуулах, хадгалж хамгаалах, судлах, сурталчлах, түгээн дэлгэрүүлэх чиг үүрэг бүхий ашгийн төлөө бус соёл, эрдэм шинжилгээний байгууллагыг	NM	музей
49	790018	спорт	хүний оюун ухааны болон бие бялдрын хөгжлийг дэмжсэн идэвхтэй үйлдлийг	NM	спорт
44	3950018	үзмэр	ерөнхий бүртгэлд бүртгэгдсэн музейн өмчийн соёлын үнэт зүйлийг	NM	үзмэр
44	3950018	үзмр	ерөнхий бүртгэлд бүртгэгдсэн музейн өмчийн соёлын үнэт зүйлийг	NM	үзмэр
37	140414	групп	татварын ерөнхий хуулийн 618-д заасныг	NM	групп
34	4350014	бараа	жижиглэнгийн худалдаагаар борлуулсан бүх төрлийн согтууруулах ундаа, тамхийг	NM	бараа
35	1790018	боомт	хөлөг онгоц зогсоход зориулагдсан, тусгай тоног төхөөрөмжөөр тоноглогдсон далайн эргийн зогсоол бүхий байгууламжийг	NM	боомт
33	5110031	мэдээ	монгол улсын болон олон улсын цаг үеийн үйл явдлын талаарх өдөр бүрийн тогтмол мэдээллийн нэвтрүүлгийг	NM	мэдээ
32	8260052	шүүгч	бүх шатны шүүхийн ерөнхий шүүгч, шүүгчийг	NM	шүүгч
31	8360030	донор	донорын тухай хуулийн 312-314-т заасныг	NM	донор
31	8360030	донр	донорын тухай хуулийн 312-314-т заасныг	NM	донор
38	356	гэрээ	хэлэлцэгч талууд харилцан тохиролцсоны үндсэн дээр хүлээх эрх, үүрэг, хариуцлагаа баталгаажуулсан баримт бичиг	NM	гэрээ
37	450	журам	тодорхой үйл ажиллагаанд баримтлах дэг, горимыг тогтоосон баримт бичиг	NM	журам
37	450	журм	тодорхой үйл ажиллагаанд баримтлах дэг, горимыг тогтоосон баримт бичиг	NM	журам
30	531	иргэн	монгол улсын иргэн, гадаад улсын иргэн, харьяалалгүй хүн	NM	иргэн
30	531	иргн	монгол улсын иргэн, гадаад улсын иргэн, харьяалалгүй хүн	NM	иргэн
28	846	санал	аливаа асуудлын талаар удирдлагаас баримтлах бодлого, гаргах шийдвэрт тусгуулах зорилгоор үйлдсэн баримт бичиг	NM	санал
28	846	санл	аливаа асуудлын талаар удирдлагаас баримтлах бодлого, гаргах шийдвэрт тусгуулах зорилгоор үйлдсэн баримт бичиг	NM	санал
50	1840032	сорьц	оношилгоо, эмчилгээ, судалгаа болон урьдчилан сэргийлэх, хяналт хийх зорилгоор хүнээс авсан цус, эс, эд, эрхтний хэсгийг	NM	сорьц
25	226	валют	монгол улсын үндэсний валют, гадаад валют, улс хоорондын худалдаа, эдийн засгийн харилцааны төлбөрт хэрэглэгдэж буй тооцооны нэгж, мөнгөжсөн алт болон валютын үнэт зүйлс	NM	валют
24	437	дүрэм	байгууллагын үйл ажиллагааны зарчим, эрх үүрэг, зохион байгуулалтын бүтэц, бусад байгууллагатай харилцах зарчмыг тодорхойлсон баримт бичиг	NM	дүрэм
24	437	дүрм	байгууллагын үйл ажиллагааны зарчим, эрх үүрэг, зохион байгуулалтын бүтэц, бусад байгууллагатай харилцах зарчмыг тодорхойлсон баримт бичиг	NM	дүрэм
21	8	агаар	монгол улсын нутаг дэвсгэрийн хийн бүрхэвч	NM	агаар
36	2490036	нисэх	агаарын хөлөг болон түүнд хамаарах бүтээгдэхүүнийг зохион бүтээх, үйлдвэрлэх, тэдгээрээр үйл ажиллагаа эрхлэх цогцолбор ойлголт	NM	нисэх
36	2490036	нисх	агаарын хөлөг болон түүнд хамаарах бүтээгдэхүүнийг зохион бүтээх, үйлдвэрлэх, тэдгээрээр үйл ажиллагаа эрхлэх цогцолбор ойлголт	NM	нисэх
52	600013	төсөл	шинээр байгуулах болон ажиллаж байгаа үйлдвэр, үйлчилгээ, уул уурхай, барилга байгууламж, тэдгээрийг шинэчлэх, өргөтгөх зэрэг аливаа үйл ажиллагааг	NM	төсөл
52	600013	төсл	шинээр байгуулах болон ажиллаж байгаа үйлдвэр, үйлчилгээ, уул уурхай, барилга байгууламж, тэдгээрийг шинэчлэх, өргөтгөх зэрэг аливаа үйл ажиллагааг	NM	төсөл
51	270035	анчин	аймаг, нийслэлийн байгаль орчны асуудал эрхэлсэн төрийн захиргааны байгууллагаас олгосон анчны үнэмлэхтэй иргэнийг	NM	анчин
51	270035	анчн	аймаг, нийслэлийн байгаль орчны асуудал эрхэлсэн төрийн захиргааны байгууллагаас олгосон анчны үнэмлэхтэй иргэнийг	NM	анчин
54	350021	архив	архивын баримтыг энэ хуульд заасан журмын дагуу хүлээн авах, бүрдүүлэх, бүртгэх, хадгалах, хамгаалах, хяналт тавих, ашиглуулах үүрэг бүхий байгууллага болон байгууллагын зохион байгуулалтын нэгжийг	NM	архив
54	350021	архв	архивын баримтыг энэ хуульд заасан журмын дагуу хүлээн авах, бүрдүүлэх, бүртгэх, хадгалах, хамгаалах, хяналт тавих, ашиглуулах үүрэг бүхий байгууллага болон байгууллагын зохион байгуулалтын нэгжийг	NM	архив
55	1470035	нээлт	хайгуулын цооногоор тогтоосон газрын тосны хуримтлалыг	NM	нээлт
56	730026	шүүлт	тухайн барааны тэмдэг, газар зүйн заалт энэ хуулийн 5, 20 дугаар зүйлд заасан шаардлага хангасан эсэхийг тогтоож, дүгнэлт гаргах оюуны өмчийн асуудал эрхэлсэн төрийн захиргааны байгууллагын үйл ажиллагааг	NM	шүүлт
57	7060030	тариф	цэвэр, бохир усны үйлчилгээний төлбөр, эсхүл эдгээрийн аль нэгийг багтаан хот, суурины ус хангамж, ариутгах татуургын ашиглалт, үйлчилгээг зохицуулах хорооноос баталж нийтэлсэн үнийг	NM	тариф
57	7060030	тарф	цэвэр, бохир усны үйлчилгээний төлбөр, эсхүл эдгээрийн аль нэгийг багтаан хот, суурины ус хангамж, ариутгах татуургын ашиглалт, үйлчилгээг зохицуулах хорооноос баталж нийтэлсэн үнийг	NM	тариф
53	5110033	суваг	радио, телевизийн хөтөлбөрийг дамжуулах сүлжээний багтаамжийн нэгжийг	NM	суваг
53	5110033	сувг	радио, телевизийн хөтөлбөрийг дамжуулах сүлжээний багтаамжийн нэгжийг	NM	суваг
44	542	ипотек	бусад үүрэг гүйцэтгүүлэгчдээс тэргүүн ээлжинд өөрийн шаардлагаа хангуулахаар үүрэг гүйцэтгүүлэгч тодорхой үл хөдлөх эд хөрөнгө барьцаалах	NM	ипотек
83	5270023	патент	тухайн шийдэл нь шинэ бүтээл, ашигтай загвар, бүтээгдэхүүний загвар болохыг тодорхойлж, патент эзэмшигч нь тодорхой хугацаанд энэ хуулийн 462-т заасан онцгой эрхийг эдлэх эрхийг	NM	патент
84	3980023	модуль	тодорхой ажил, мэргэжлийн чадамж эзэмшүүлэхэд чиглэсэн харилцан уялдаа бүхий сургалтын нэгж ажилбарыг	NM	модуль
84	3980023	модул	тодорхой ажил, мэргэжлийн чадамж эзэмшүүлэхэд чиглэсэн харилцан уялдаа бүхий сургалтын нэгж ажилбарыг	NM	модуль
84	3980023	модули	тодорхой ажил, мэргэжлийн чадамж эзэмшүүлэхэд чиглэсэн харилцан уялдаа бүхий сургалтын нэгж ажилбарыг	NM	модуль
85	250019	эрсдэл	хилээр нэвтрүүлэх амьтан, ургамал, тэдгээрийн гаралтай түүхий эд, бүтээгдэхүүнээс тодорхой хугацааны туршид амьтан, ургамал, хүн амын эрүүл мэндэд ямар нэгэн сөрөг нөлөө учруулж болох үр дагаварын хэмжээ өндөрсөх магадлалыг	NM	эрсдэл
85	250019	эрсдл	хилээр нэвтрүүлэх амьтан, ургамал, тэдгээрийн гаралтай түүхий эд, бүтээгдэхүүнээс тодорхой хугацааны туршид амьтан, ургамал, хүн амын эрүүл мэндэд ямар нэгэн сөрөг нөлөө учруулж болох үр дагаварын хэмжээ өндөрсөх магадлалыг	NM	эрсдэл
86	6510017	допинг	биеийн тамир, спортын тухай хуулийн 4114-т заасныг	NM	допинг
87	7950013	шуудан	шуудангийн илгээмжийг хаягласан эзэнд нь хүргэх үйлдвэрлэл-технологийн иж бүрэн үйл ажиллагаа бүхий харилцаа холбооны төрлийг	NM	шуудан
87	7950013	шуудн	шуудангийн илгээмжийг хаягласан эзэнд нь хүргэх үйлдвэрлэл-технологийн иж бүрэн үйл ажиллагаа бүхий харилцаа холбооны төрлийг	NM	шуудан
88	2490030	нислэг	агаараас хүнд агаарын хөлгийн хувьд хөөрөх зорилгоор зогсоолоос хөдлөхөөс эхлэн газарт эргэн бууж хөдөлгөөнөө бүрэн зогсоох хүртэлх агаараас хөнгөн агаарын хөлгийн хувьд газрын гадаргуугаас хөөрөхөөс эхлэн газардах хүртэлх үйл ажиллагаа	NM	нислэг
88	2490030	нислг	агаараас хүнд агаарын хөлгийн хувьд хөөрөх зорилгоор зогсоолоос хөдлөхөөс эхлэн газарт эргэн бууж хөдөлгөөнөө бүрэн зогсоох хүртэлх агаараас хөнгөн агаарын хөлгийн хувьд газрын гадаргуугаас хөөрөхөөс эхлэн газардах хүртэлх үйл ажиллагаа	NM	нислэг
89	4840016	журнал	ажил, гүйлгээг ерөнхий дэвтрийн дансанд шилжүүлэхийн өмнө цаг хугацааны дарааллаар нь бүртгэх бичилтийг	NM	журнал
89	4840016	журнл	ажил, гүйлгээг ерөнхий дэвтрийн дансанд шилжүүлэхийн өмнө цаг хугацааны дарааллаар нь бүртгэх бичилтийг	NM	журнал
90	8160024	цуврал	үйлдвэрлэлийн технологийн нэг удаагийн шат дамжлагаар үйлдвэрлэсэн эмийн бүтээгдэхүүний багцын тоо хэмжээг	NM	цуврал
90	8160024	цуврл	үйлдвэрлэлийн технологийн нэг удаагийн шат дамжлагаар үйлдвэрлэсэн эмийн бүтээгдэхүүний багцын тоо хэмжээг	NM	цуврал
91	2410018	бүтээл	шинжлэх ухаан, утга зохиол, урлагийн салбар дахь зохиогчийн оюуны бүтээлч үйл ажиллагааны бодит үр дүнг	NM	бүтээл
94	7670013	хэмжил	хэмжигдэхүүний тоон утгыг тодорхойлох үйл ажиллагааг	NM	хэмжил
94	7670013	хэмжл	хэмжигдэхүүний тоон утгыг тодорхойлох үйл ажиллагааг	NM	хэмжил
93	3500017	зөвлөл	монгол улсын их хурлын тухай хуулийн 143-т заасан улсын их хурлын даргын дэргэд ажиллах зөвлөлийг	NM	зөвлөл
93	3500017	зөвлл	монгол улсын их хурлын тухай хуулийн 143-т заасан улсын их хурлын даргын дэргэд ажиллах зөвлөлийг	NM	зөвлөл
82	4400016	уншигч	номын сангийн үйлчилгээг хүртэгч иргэн, хуулийн этгээдийг	NM	уншигч
95	5720082	этгээд	хувь хүн, хуулийн этгээд, хуулийн этгээдийн эрхгүй байгууллага болон тэдгээртэй адилтгах иргэний харилцаанд оролцогчийг	NM	этгээд
96	8100023	талууд	эвлэрүүлэн зуучлах журмаар энэ хуулийн 31-д заасан маргааныг зохицуулах хүсэлт гаргасан иргэн буюу хуулийн этгээд, хуулийн этгээдийн эрхгүй этгээдийг, түүнчлэн шүүх эвлэрүүлэн зуучлалыг зохистойүзэж санал болгосныг зөвшөөрснөөр эвлэрүүлэн зуучлалд оролцох болсон зохигчийг	NM	талууд
97	5720066	төлбөр	төрийн өмчийн газар, газрын хэвлий, байгалийн баялаг, ой, ургамал, рашаан, ашигт малтмал, газрын тосны нөөц, агаар, ус, хөрс ашигласны, бохирдуулсны, ан амьтан агнасны төлөө аливаа этгээдээс авч төсөвт төвлөрүүлж байгаа мөнгөн хөрөнгийг	NM	төлбөр
97	5720066	төлбр	төрийн өмчийн газар, газрын хэвлий, байгалийн баялаг, ой, ургамал, рашаан, ашигт малтмал, газрын тосны нөөц, агаар, ус, хөрс ашигласны, бохирдуулсны, ан амьтан агнасны төлөө аливаа этгээдээс авч төсөвт төвлөрүүлж байгаа мөнгөн хөрөнгийг	NM	төлбөр
98	1400027	цагаач	монгол улсын эрх бүхий байгууллагаас цагаачлан оршин суух зөвшөөрөл авсан гадаадын иргэн, харьяалалгүй хүнийг	NM	цагаач
99	8360028	протез	хүний эд, эрхтнийг орлуулах болон эмгэг, согогийг засах зориулалтаар бүтээгдсэн зүйлийг	NM	протез
100	7950018	боодол	тодорхой этгээдэд хаягласан, эд зүйлс агуулсан битүүмжлэгдсэн шуудангийн илгээмжийг	NM	боодол
100	7950018	боодл	тодорхой этгээдэд хаягласан, эд зүйлс агуулсан битүүмжлэгдсэн шуудангийн илгээмжийг	NM	боодол
101	7580012	хуульч	хуульчийн мэргэжлийн үйл ажиллагаа эрхлэх зөвшөөрөлтэй этгээдийг	NM	хуульч
39	97	агсамж	цэрэг, цагдаагийн албан хаагчийн нэг бүрийн иж бүрэн хувцас, хэрэглэл, зэвсэглэл	NM	агсамж
92	1560016	гамшиг	аюулт үзэгдэл, ослын улмаас олон хүний амь нас, эрүүл мэнд хохирох, мал, амьтан олноор хорогдох, эд хөрөнгө, музейн үзмэр, цуглуулга, түүх, соёлын дурсгалт зүйл, хүрээлэн байгаа орчинд улс болон орон нутгийн эдийн засаг, нийгмийн дотоод нөөц, боломжоос давсан хохирол учрахыг	NM	гамшиг
92	1560016	гамшг	аюулт үзэгдэл, ослын улмаас олон хүний амь нас, эрүүл мэнд хохирох, мал, амьтан олноор хорогдох, эд хөрөнгө, музейн үзмэр, цуглуулга, түүх, соёлын дурсгалт зүйл, хүрээлэн байгаа орчинд улс болон орон нутгийн эдийн засаг, нийгмийн дотоод нөөц, боломжоос давсан хохирол учрахыг	NM	гамшиг
