	doc_id	doc_title	doc_desc	doc_link
15	MNCLW00016	ажилласан жил, тэтгэврийн даатгалын шимтгэлийг нөхөн	2019 оны 11 сарын 13 өдөр	https://legalinfo.mn/mn/detail?lawId=14870
16	MNCLW00017	ажиллах хүч гадаадад гаргах, гадаадаас ажиллах хүч, мэргэжилтэн авах тухай хууль хүчингүй болсонд тооцох тухай	2021 оны 12 сарын 24 өдөр	https://legalinfo.mn/mn/detail?lawId=16390390383221
17	MNCLW00018	ажиллах хүчний шилжилт хөдөлгөөний тухай хууль /шинэчилсэн найруулга/-ийг дагаж мөрдөх журмын тухай	2021 оны 12 сарын 24 өдөр	https://legalinfo.mn/mn/detail?lawId=16390389091581
18	MNCLW00019	ажиллах хүчний шилжилт хөдөлгөөний тухай	2021 оны 12 сарын 24 өдөр	https://legalinfo.mn/mn/detail?lawId=16390388880621
19	MNCLW00020	ажлын таван өдөртэй долоо хоногт шилжүүлэх тухай	1997 оны 12 дугаар сарын 4-ний өдөр	https://legalinfo.mn/mn/detail?lawId=7
20	MNCLW00021	аймаг, нийслэл, сум, дүүргийн иргэдийн төлөөлөгчдийн хурлын сонгуулийн тухай	2020 оны 01 сарын 30 өдөр	https://legalinfo.mn/mn/detail?lawId=15125
21	MNCLW00022	аймаг, нийслэл, сум, дүүргийн иргэдийн төлөөлөгчдийн хурлын сонгуулийн тухай хуулийг дагаж мөрдөх журмын тухай	2020 оны 01 сарын 30 өдөр	https://legalinfo.mn/mn/detail?lawId=15126
22	MNCLW00023	аймаг, сум, дүүргийн иргэдийн төлөөлөгчдийн хурлын сонгуулийн тухай хууль хүчингүй болсонд тооцох тухай	2015 оны 12 дугаар сарын 25-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11562
23	MNCLW00024	алдар цолтон ахмад настанд төрөөс нэмэгдэл, хөнгөлөлт олгох тухай	2017 оны 2 дугаар сарын 02-ны өдөр	https://legalinfo.mn/mn/detail?lawId=12462
24	MNCLW00025	амьтан, ургамал, тэдгээрийн гаралтай түүхий эд, бүтээгдэхүүнийг улсын хилээр нэвтрүүлэх үеийн хорио цээрийн хяналт, шалгалтын тухай	2002 оны 11 дүгээр сарын 28-ны өдөр	https://legalinfo.mn/mn/detail?lawId=38
25	MNCLW00026	амьтны аймгийн тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9387
26	MNCLW00027	амьтны тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=8670
27	MNCLW00028	ан агнуурын тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9388
28	MNCLW00029	анхны ардчилсан сонгууль болж байнгын ажиллагаатай парламент байгуулагдсаны 25 жилийн ойг тохиолдуулан өршөөл үзүүлэх тухай	2015 оны 8 дугаар сарын 11-ний өдөр	https://legalinfo.mn/mn/detail?lawId=11278
29	MNCLW00030	арбитрын тухай хууль хүчингүй болсонд тооцох тухай	2017 оны 1 дүгээр сарын 26-ны өдөр	https://legalinfo.mn/mn/detail?lawId=12457
30	MNCLW00031	арбитрын тухай	2017 оны 1 дүгээр сарын 26-ны өдөр	https://legalinfo.mn/mn/detail?lawId=12456
31	MNCLW00032	ард нийтийн санал асуулгын тухай хууль хүчингүй болсонд тооцох тухай	2016 оны 2 дугаар сарын 05-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11758
32	MNCLW00033	ард нийтийн санал асуулгын тухай	2016 оны 2 дугаар сарын 05-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11704
33	MNCLW00034	ариун цэврийн тухай хууль хүчингүй болсонд тооцох тухай	2016 оны 2 дугаар сарын 04-ний өдөр	https://legalinfo.mn/mn/detail?lawId=11638
34	MNCLW00035	архив, албан хэрэг хөтлөлтийн тухай	2020 оны 04 сарын 24 өдөр	https://legalinfo.mn/mn/detail?lawId=15370
35	MNCLW00036	архивын тухай хууль хүчингүй болсонд тооцох тухай	2020 оны 04 сарын 24 өдөр	https://legalinfo.mn/mn/detail?lawId=15747
36	MNCLW00037	архидан согтуурахтай тэмцэх тухай 1994 оны хууль хүчингүй болсонд тооцох тухай	2000 оны 01 сарын 28 өдөр	https://legalinfo.mn/mn/detail?lawId=13326
37	MNCLW00038	архидан согтуурахтай тэмцэх тухай хууль хүчингүй болсонд тооцох тухай	2022 оны 07 сарын 05 өдөр	https://legalinfo.mn/mn/detail?lawId=16530861381611
38	MNCLW00039	аудитын тухай хууль хүчингүй болсонд тооцох тухай	2015 оны 6 дугаар сарын 19-ний өдөр	https://legalinfo.mn/mn/detail?lawId=11202
39	MNCLW00040	аудитын тухай	2015 оны 6 дугаар сарын 19-ний өдөр	https://legalinfo.mn/mn/detail?lawId=11192
40	MNCLW00041	ахмад настны нийгмийн хамгааллын тухай хууль хүчингүй болсонд тооцох тухай	2017 оны 1 дүгээр сарын 26-ны өдөр	https://legalinfo.mn/mn/detail?lawId=12454
41	MNCLW00042	ахмад настны тухай	2017 оны 1 дүгээр сарын 26-ны өдөр	https://legalinfo.mn/mn/detail?lawId=12453
42	MNCLW00043	ахуйн болон үйлдвэрлэлийн хог хаягдлын тухай хууль хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9394
43	MNCLW00044	ашигт малтмалын тухай хуулийг дагаж мөрдөх журмын тухай	2006 оны 7 дугаар сарын 08-ны өдөр	https://legalinfo.mn/mn/detail?lawId=64
44	MNCLW00045	ашигт малтмалын тухай хуульд нэмэлт, өөрчлөлт оруулах тухай	2019 оны 11 сарын 22 өдөр	https://legalinfo.mn/mn/detail?lawId=14816
45	MNCLW00046	ашигт малтмалын тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийг дагаж мөрдөх журмын тухай	2014 оны 7 дугаар сарын 01-ний өдөр	https://legalinfo.mn/mn/detail?lawId=10498
46	MNCLW00047	ашигт малтмалын тухай	2006 оны 07 сарын 08 өдөр	https://legalinfo.mn/mn/detail?lawId=63
47	MNCLW00048	ашигт малтмалын хайгуулын тусгай зөвшөөрөл шинээр олгохыг хориглох тухай	2011 оны 6 дугаар сарын 3-ны өдөр	https://legalinfo.mn/mn/detail?lawId=66
48	MNCLW00049	ашигт малтмалын хайгуулын тусгай зөвшөөрөл шинээр олгохыг хориглох тухай	2011 оны 2 дугаар сарын 9-ний өдөр	https://legalinfo.mn/mn/detail?lawId=65
49	MNCLW00050	ашигт малтмалын хайгуулын тусгай зөвшөөрөл шинээр олгохыг хориглох тухай	2010 оны 6 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=68
50	MNCLW00051	аюултай хог хаягдлын импорт, хил дамжуулан тээвэрлэлтийг хориглох, экспортлох тухай хууль хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9393
51	MNCLW00052	аялал жуулчлалын тухай	2000 оны 5 дугаар сарын 05-ны өдөр	https://legalinfo.mn/mn/detail?lawId=8929
52	MNCLW00053	бага, дунд боловсролын тухай	2002 оны 5 дугаар сарын 03-ны өдөр	https://legalinfo.mn/mn/detail?lawId=72
53	MNCLW00054	бага, дунд боловсролын тухай хуулийг дагаж мєрдєх тухай	2002 оны 5 дугаар сарын 3-ны өдөр	https://legalinfo.mn/mn/detail?lawId=73
54	MNCLW00055	багшийн хөгжлийг дэмжих тухай	2018 оны 6 дугаар сарын 27-ны өдөр	https://legalinfo.mn/mn/detail?lawId=13532
55	MNCLW00056	байгалийн нөөц ашигласны төлбөрийн орлогоос байгаль орчныг хамгаалах, байгалийн нөөцийг нөхөн сэргээх арга хэмжээнд зарцуулах хөрөнгийн хувь, хэмжээний тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9397
56	MNCLW00057	байгалийн нөөц ашигласны төлбөрийн тухай	2012 оны 05 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=8663
57	MNCLW00058	байгалийн ургамал ашигласны төлбөрийн тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9399
58	MNCLW00059	байгалийн ургамлын тухай	1995 оны 4 дүгээр сарын 11-ний өдөр	https://legalinfo.mn/mn/detail?lawId=76
59	MNCLW00060	байгаль орчинд нөлөөлөх байдлын үнэлгээний тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=8665
60	MNCLW00061	байгаль орчныг хамгаалах тухай	1995 оны 3 дугаар сарын 30-ны өдөр	https://legalinfo.mn/mn/detail?lawId=8935
61	MNCLW00062	байгууллагын нууцын тухай	1995 оны 5 дугаар сарын 16-ны өдөр	https://legalinfo.mn/mn/detail?lawId=102
62	MNCLW00063	банк бус санхүүгийн үйл ажиллагааны тухай	2002 оны 12 дугаар сарын 12-ны өдөр	https://legalinfo.mn/mn/detail?lawId=103
63	MNCLW00064	банкин дахь мөнгөн хадгаламжид баталгаа гаргах тухай	2008 оны 11 дүгээр сарын 25-ны өдөр	https://legalinfo.mn/mn/detail?lawId=107
64	MNCLW00065	банкин дахь мөнгөн хадгаламжийн даатгалын тухай	2013 оны 1 дүгээр сарын 10-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9022
65	MNCLW00066	банкны салбарын тогтвортой байдлыг хангах тухай	2018 оны 6 дугаар сарын 22-ны өдөр	https://legalinfo.mn/mn/detail?lawId=13523
66	MNCLW00067	банкны тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийг дагаж мөрдөх журмын тухай	2021 оны 01 сарын 29 өдөр	https://legalinfo.mn/mn/detail?lawId=16160842252911
67	MNCLW00068	банкны тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийг дагаж мөрдөх журмын тухай	2018 оны 1 дүгээр сарын 18-ны өдөр	https://legalinfo.mn/mn/detail?lawId=13179
68	MNCLW00069	банкны тухай	2010 оны 1 дүгээр сарын 28-ны өдөр	https://legalinfo.mn/mn/detail?lawId=108
69	MNCLW00070	банк, эрх бүхий хуулийн этгээдийн мөнгөн хадгаламж, мөнгөн хөрөнгийн шилжүүлэг, зээлийн үйл ажиллагааны тухай хууль	2021 оны 05 сарын 21 өдөр	https://legalinfo.mn/mn/detail?lawId=16230549381421
70	MNCLW00071	банк, эрх бүхий хуулийн этгээдийн мөнгөн хадгаламж, мөнгөн хөрөнгийн шилжүүлэг, зээлийн үйл ажиллагааны тухай	2021 оны 05 сарын 21 өдөр	https://legalinfo.mn/mn/detail?lawId=16230554816671
71	MNCLW00072	банк, эрх бүхий хуулийн этгээдийн мөнгөн хадгаламж, төлбөр тооцоо, зээлийн үйл ажиллагааны тухай	2021 оны 05 сарын 21 өдөр	https://legalinfo.mn/mn/detail?lawId=16230549189501
72	MNCLW00073	барааны тэмдэг, газар зүйн заалтын тухай	2010 оны 6 дугаар сарын 10-ны өдөр	https://legalinfo.mn/mn/detail?lawId=111
73	MNCLW00074	барилгын тухай хууль хүчингүй болсонд тооцох тухай	2016 оны 2 дугаар сарын 05-ны өдөр	https://legalinfo.mn/mn/detail?lawId=13661
74	MNCLW00075	барилгын тухай хууль /шинэчилсэн найруулга/-ийг дагаж мөрдөх журмын тухай	2016 оны 2 дугаар сарын 05-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11706
75	MNCLW00076	барилгын тухай	2016 оны 2 дугаар сарын 05-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11705
76	MNCLW00077	баяжуулсан хүнсний тухай	2018 оны 5 дугаар сарын 03-ны өдөр	https://legalinfo.mn/mn/detail?lawId=13353
77	MNCLW00078	биеийн тамир, спортын тухай хууль хүчингүй болсонд тооцох тухай	2017 оны 07 дүгээр сарын 06-ны өдөр	https://legalinfo.mn/mn/detail?lawId=12925
78	MNCLW00079	биеийн тамир, спортын тухай	2017 оны 07 сарын 06 өдөр	https://legalinfo.mn/mn/detail?lawId=12924
79	MNCLW00080	бнмау-ын засгийн газарт эрх олгох тухай	1991 оны 1 дүгээр сарын 4-ний өдөр	https://legalinfo.mn/mn/detail?lawId=114
80	MNCLW00081	боловсролын тухай	2002 оны 5 дугаар сарын 03-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9020
81	MNCLW00082	нэгдүгээр бүлэг	улаанбаатар хот	https://legalinfo.mn/mn/detail?lawId=125
82	MNCLW00083	бүсчилсэн хөгжлийн удирдлага зохицуулалтын тухай	2003 оны 5 дугаар сарын 30-ны өдөр	https://legalinfo.mn/mn/detail?lawId=126
83	MNCLW00084	бууны албан татварын тухай хууль хүчингүй болсонд тооцох тухай	2015 оны 8 дугаар сарын 7-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11273
84	MNCLW00085	валютын зохицуулалтын тухай	1994 оны 05 дугаар сарын 12-ны өдөр	https://legalinfo.mn/mn/detail?lawId=127
85	MNCLW00086	векселийн тухай	1995 оны 11 дүгээр сарын 2-ны өдөр	https://legalinfo.mn/mn/detail?lawId=128
86	MNCLW00087	виртуал хөрөнгийн үйлчилгээ үзүүлэгчийн тухай	2021 оны 12 сарын 17 өдөр	https://legalinfo.mn/mn/detail?lawId=16390242606091
87	MNCLW00088	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 1 дүгээр сарын 16-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9691
88	MNCLW00089	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 1 дүгээр сарын 24-ний өдөр	https://legalinfo.mn/mn/detail?lawId=9717
89	MNCLW00090	гаалийн албан татвараас чөлөөлөх тухай	2001 оны 10 дугаар сарын 18-ны өдөр	https://legalinfo.mn/mn/detail?lawId=198
90	MNCLW00091	гаалийн албан татвараас чөлөөлөх тухай	2005 оны 2 дугаар сарын 24-ны өдөр	https://legalinfo.mn/mn/detail?lawId=197
91	MNCLW00092	гаалийн албан татвараас чөлөөлөх тухай	2003 оны 12 дугаар сарын 26-ны өдөр	https://legalinfo.mn/mn/detail?lawId=196
92	MNCLW00093	гаалийн албан татвараас чөлөөлөх тухай	2004 оны 04 дүгээр сарын 22-ны өдөр	https://legalinfo.mn/mn/detail?lawId=195
93	MNCLW00094	гаалийн албан татвараас чөлөөлөх тухай	2005 оны 03 дугаар сарын 18-ны өдөр	https://legalinfo.mn/mn/detail?lawId=194
94	MNCLW00095	гаалийн албан татвараас чөлөөлөх тухай	2002 оны 6 дугаар сарын 6-ны өдөр	https://legalinfo.mn/mn/detail?lawId=144
95	MNCLW00096	гаалийн албан татвараас чөлөөлөх тухай	2000 оны 7 дугаар сарын 26-ны өдөр	https://legalinfo.mn/mn/detail?lawId=143
96	MNCLW00097	гаалийн албан татвараас чөлөөлөх тухай	2000 оны 12 дугаар сарын 07-ны өдөр	https://legalinfo.mn/mn/detail?lawId=141
97	MNCLW00098	гаалийн албан татвараас чөлөөлөх тухай	2012 оны 2 дугаар сарын 16-ны өдөр	https://legalinfo.mn/mn/detail?lawId=8927
98	MNCLW00099	гаалийн албан татвараас	2013 оны 6 дугаар сарын 7-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9248
99	MNCLW00100	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 5 дугаар сарын 09-ний өдөр	https://legalinfo.mn/mn/detail?lawId=10378
100	MNCLW00101	гаалийн албан татвараас чөлөөлөх тухай	2018 оны 1 дүгээр сарын 12-ны өдөр	https://legalinfo.mn/mn/detail?lawId=13116
101	MNCLW00102	гаалийн албан татвараас чөлөөлөх тухай	2015 оны 12 дугаар сарын 25-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11520
102	MNCLW00103	гаалийн албан татвараас чөлөөлөх тухай	2012 оны 2 дугаар сарын 16-ны өдөр	https://legalinfo.mn/mn/detail?lawId=8927
103	MNCLW00104	гаалийн албан татвараас чөлөөлөх тухай	2016 оны 2 дугаар сарын 05-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11712
104	MNCLW00105	гаалийн албан татвараас чөлөөлөх тухай	2009 оны 10 дугаар сарын 30-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11552
105	MNCLW00106	гаалийн албан татвараас чөлөөлөх тухай	2020 оны 04 сарын 09 өдөр	https://legalinfo.mn/mn/detail?lawId=15237
106	MNCLW00107	гаалийн албан татвараас чөлөөлөх тухай	2017 оны 11 дүгээр сарын 30-ны өдөр	https://legalinfo.mn/mn/detail?lawId=12972
107	MNCLW00108	гаалийн албан татвараас	2013 оны 6 дугаар сарын 7-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9248
108	MNCLW00109	гаалийн албан татвараас чөлөөлөх тухай	2017 оны 12 дугаар сарын 22-ны өдөр	https://legalinfo.mn/mn/detail?lawId=13027
109	MNCLW00110	гаалийн албан татвараас чөлөөлөх тухай	2018 оны 5 дугаар сарын 10-ны өдөр	https://legalinfo.mn/mn/detail?lawId=13374
110	MNCLW00111	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 5 дугаар сарын 09-ний өдөр	https://legalinfo.mn/mn/detail?lawId=10378
111	MNCLW00112	гаалийн албан татвараас чөлөөлөх тухай	2011 оны 12 дугаар сарын 9-ний өдөр	https://legalinfo.mn/mn/detail?lawId=9740
112	MNCLW00113	гаалийн албан татвараас чөлөөлөх тухай	2020 оны 04 сарын 09 өдөр	https://legalinfo.mn/mn/detail?lawId=15242
113	MNCLW00114	гаалийн албан татвараас чөлөөлөх тухай	2020 оны 12 сарын 04 өдөр	https://legalinfo.mn/mn/detail?lawId=15756
114	MNCLW00115	гаалийн албан татвараас чөлөөлөх тухай	2002 оны 1 дүгээр сарын 10-ны өдөр	https://legalinfo.mn/mn/detail?lawId=206
115	MNCLW00116	гаалийн албан татвараас чөлөөлөх тухай	2003 оны 12 дугаар сарын 26-ны өдөр	https://legalinfo.mn/mn/detail?lawId=205
116	MNCLW00117	гаалийн албан татвараас чөлөөлөх тухай	2005 оны 03 дугаар сарын 18-ны өдөр	https://legalinfo.mn/mn/detail?lawId=194
117	MNCLW00118	гаалийн албан татвараас чөлөөлөх тухай	2003 оны 10 дугаар сарын 09-ний өдөр	https://legalinfo.mn/mn/detail?lawId=204
118	MNCLW00119	гаалийн албан татвараас чөлөөлөх тухай	2006 оны 6 дугаар сарын 29-ны өдөр	https://legalinfo.mn/mn/detail?lawId=203
119	MNCLW00120	гаалийн албан татвараас	2013 оны 6 дугаар сарын 7-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9245
120	MNCLW00121	гаалийн албан татвараас чөлөөлөх тухай	2000 оны 4 дүгээр сарын 06-ны өдөр	https://legalinfo.mn/mn/detail?lawId=201
121	MNCLW00122	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 5 дугаар сарын 09-ний өдөр	https://legalinfo.mn/mn/detail?lawId=10378
122	MNCLW00123	гаалийн албан татвараас чөлөөлөх тухай	2015 оны 5 дугаар сарын 21-ний өдөр	https://legalinfo.mn/mn/detail?lawId=11086
123	MNCLW00124	гаалийн албан татвараас чөлөөлөх тухай	2008 оны 5 дугаар сарын 29-ний өдөр	https://legalinfo.mn/mn/detail?lawId=200
124	MNCLW00125	гаалийн албан татвараас	2009 оны 7 дугаар сарын 16-ны өдөр	https://legalinfo.mn/mn/detail?lawId=199
125	MNCLW00126	гаалийн албан татвараас чөлөөлөх тухай	2002 оны 6 дугаар сарын 13-ны өдөр	https://legalinfo.mn/mn/detail?lawId=202
126	MNCLW00127	гаалийн албан татвараас чөлөөлөх тухай хуулийг дагаж мөрдөх журмын тухай	2017 оны 2 дугаар сарын 02-ны өдөр	https://legalinfo.mn/mn/detail?lawId=12466
127	MNCLW00128	гаалийн албан татвараас чөлөөлөх тухай хуулийг дагаж мөрдөх журмын тухай	2018 оны 5 дугаар сарын 10-ны өдөр	https://legalinfo.mn/mn/detail?lawId=13376
128	MNCLW00129	гаалийн албан татварыг хөнгөлөх тухай	2021 оны 04 сарын 23 өдөр	https://legalinfo.mn/mn/detail?lawId=16207166046081
129	MNCLW00130	гаалийн албан татварыг хөнгөлөх тухай	2019 оны 11 сарын 28 өдөр	https://legalinfo.mn/mn/detail?lawId=14794
130	MNCLW00131	гаалийн албан татварыг хөнгөлөх тухай	2020 оны 08 сарын 28 өдөр	https://legalinfo.mn/mn/detail?lawId=15575
131	MNCLW00132	гаалийн албан татварыг хөнгөлөх тухай	2022 оны 11 сарын 11 өдөр	https://legalinfo.mn/mn/detail?lawId=16532003526601
132	MNCLW00133	гаалийн албан татварыг хөнгөлөх тухай хуулийг дагаж мөрдөх журмын тухай	2019 оны 11 сарын 28 өдөр	https://legalinfo.mn/mn/detail?lawId=14795
133	MNCLW00134	гаалийн албан татварыг хөнгөлөх тухай хуулийг дагаж мөрдөх журмын тухай	2020 оны 08 сарын 28 өдөр	https://legalinfo.mn/mn/detail?lawId=15574
134	MNCLW00135	гаалийн болон нэмэгдсэн өртгийн албан татвараас чөлөөлөх тухай	2001 оны 5 дугаар сарын 25-ны өдөр	https://legalinfo.mn/mn/detail?lawId=207
135	MNCLW00136	гаалийн болон нэмэгдсэн өртгийн албан татвараас чөлөөлөх тухай	2012 оны 5 дугаар сарын 22-ны өдөр	https://legalinfo.mn/mn/detail?lawId=10363
136	MNCLW00137	гаалийн тариф, гаалийн татварын тухай	2008 оны 5 дугаар сарын 20-ны өдөр	https://legalinfo.mn/mn/detail?lawId=208
137	MNCLW00138	гаалийн тухай	2008 оны 5 дугаар сарын 20-ны өдөр	https://legalinfo.mn/mn/detail?lawId=209
138	MNCLW00139	1 дүгээр зүйл.2020 оны 12 дугаар сарын 31-ний өдөр баталсан гадаадын иргэний эрх зүйн байдлын тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийн 3 дугаар зүйлийн 12 дахь заалтын 24.1 дэх хэсэгт заасан үйл ажиллагааг засгийн газар, түүний харьяа байгууллага нь холбогдох бусад байгууллагатай хамтран үе шаттайгаар зохион байгуулна.хэвлэх	улаанбаатар хот	https://legalinfo.mn/mn/detail?lawId=16106891992291
139	MNCLW00140	гадаадын иргэний эрх зүйн байдлын тухай	2010 оны 7 дугаар сарын 08-ны өдөр	https://legalinfo.mn/mn/detail?lawId=211
140	MNCLW00141	гадаадын хөрөнгө оруулалтын тухай хууль хүчингүй болсонд тооцох тухай	2013 оны 10 дугаар сарын 3-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9494
141	MNCLW00142	гадаадын цэргийн хүчнийг байрлуулах, дамжин өнгөрүүлэх тухай	1998 оны 1 дүгээр сарын 8-ны өдөр	https://legalinfo.mn/mn/detail?lawId=213
142	MNCLW00143	газрын төлбөрийн тухай	1997 оны 4 дүгээр сарын 24-ны өдөр	https://legalinfo.mn/mn/detail?lawId=217
143	MNCLW00144	газрын төлбөрийн тухай хуульд өөрчлөлт оруулах тухай хууль хүчингүй болсонд тооцох тухай	2019 оны 11 сарын 13 өдөр	https://legalinfo.mn/mn/detail?lawId=14871
144	MNCLW00145	газрын тос боловсруулах үйлдвэрийг дэмжих тухай	2021 оны 01 сарын 29 өдөр	https://legalinfo.mn/mn/detail?lawId=16160842241091
145	MNCLW00146	газрын тосны бүтээгдэхүүний тухай	2005 оны 07 дугаар сарын 01-ний өдөр	https://legalinfo.mn/mn/detail?lawId=214
146	MNCLW00147	газрын тосны тухай	2014 оны 7 дугаар сарын 01-ний өдөр	https://legalinfo.mn/mn/detail?lawId=10484
147	MNCLW00148	газрын тухай	2002 оны 6 дугаар сарын 07-ны өдөр	https://legalinfo.mn/mn/detail?lawId=216
148	MNCLW00149	газрын хэвлийн тухай	1988 оны 11 дүгээр сарын 29-ний өдөр	https://legalinfo.mn/mn/detail?lawId=218
149	MNCLW00150	галт зэвсгийн албан татварын тухай	2015 оны 8 дугаар сарын 7-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11271
150	MNCLW00151	галт зэвсгийн тухай хууль хүчингүй болсонд тооцох тухай	2015 оны 8 дугаар сарын 7-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11272
151	MNCLW00152	галт зэвсгийн тухай	2015 оны 8 дугаар сарын 07-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11270
152	MNCLW00153	галын аюулгүй байдлын тухай	2015 оны 7 дугаар сарын 2-ны өдөр	https://legalinfo.mn/mn/detail?lawId=11222
153	MNCLW00154	гамшгаас хамгаалах тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийг дагаж мөрдөх журмын тухай	2020 оны 05 сарын 14 өдөр	https://legalinfo.mn/mn/detail?lawId=15425
154	MNCLW00155	гамшгаас хамгаалах тухай хууль хүчингүй болсонд тооцох тухай	2017 оны 2 дугаар сарын 02-ны өдөр	https://legalinfo.mn/mn/detail?lawId=12459
155	MNCLW00156	гамшгаас хамгаалах тухай	2017 оны 02 сарын 02 өдөр	https://legalinfo.mn/mn/detail?lawId=12458
