	doc_id	doc_title	doc_desc
113	MNCLW00114	гаалийн албан татвараас чөлөөлөх тухай	2020 оны 12 сарын 04 өдөр
114	MNCLW00115	гаалийн албан татвараас чөлөөлөх тухай	2002 оны 1 дүгээр сарын 10-ны өдөр
115	MNCLW00116	гаалийн албан татвараас чөлөөлөх тухай	2003 оны 12 дугаар сарын 26-ны өдөр
116	MNCLW00117	гаалийн албан татвараас чөлөөлөх тухай	2005 оны 03 дугаар сарын 18-ны өдөр
117	MNCLW00118	гаалийн албан татвараас чөлөөлөх тухай	2003 оны 10 дугаар сарын 09-ний өдөр
118	MNCLW00119	гаалийн албан татвараас чөлөөлөх тухай	2006 оны 6 дугаар сарын 29-ны өдөр
119	MNCLW00120	гаалийн албан татвараас	2013 оны 6 дугаар сарын 7-ны өдөр
120	MNCLW00121	гаалийн албан татвараас чөлөөлөх тухай	2000 оны 4 дүгээр сарын 06-ны өдөр
121	MNCLW00122	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 5 дугаар сарын 09-ний өдөр
122	MNCLW00123	гаалийн албан татвараас чөлөөлөх тухай	2015 оны 5 дугаар сарын 21-ний өдөр
123	MNCLW00124	гаалийн албан татвараас чөлөөлөх тухай	2008 оны 5 дугаар сарын 29-ний өдөр
124	MNCLW00125	гаалийн албан татвараас	2009 оны 7 дугаар сарын 16-ны өдөр
125	MNCLW00126	гаалийн албан татвараас чөлөөлөх тухай	2002 оны 6 дугаар сарын 13-ны өдөр
126	MNCLW00127	гаалийн албан татвараас чөлөөлөх тухай хуулийг дагаж мөрдөх журмын тухай	2017 оны 2 дугаар сарын 02-ны өдөр
127	MNCLW00128	гаалийн албан татвараас чөлөөлөх тухай хуулийг дагаж мөрдөх журмын тухай	2018 оны 5 дугаар сарын 10-ны өдөр
128	MNCLW00129	гаалийн албан татварыг хөнгөлөх тухай	2021 оны 04 сарын 23 өдөр
129	MNCLW00130	гаалийн албан татварыг хөнгөлөх тухай	2019 оны 11 сарын 28 өдөр
130	MNCLW00131	гаалийн албан татварыг хөнгөлөх тухай	2020 оны 08 сарын 28 өдөр
131	MNCLW00132	гаалийн албан татварыг хөнгөлөх тухай	2022 оны 11 сарын 11 өдөр
132	MNCLW00133	гаалийн албан татварыг хөнгөлөх тухай хуулийг дагаж мөрдөх журмын тухай	2019 оны 11 сарын 28 өдөр
133	MNCLW00134	гаалийн албан татварыг хөнгөлөх тухай хуулийг дагаж мөрдөх журмын тухай	2020 оны 08 сарын 28 өдөр
134	MNCLW00135	гаалийн болон нэмэгдсэн өртгийн албан татвараас чөлөөлөх тухай	2001 оны 5 дугаар сарын 25-ны өдөр
135	MNCLW00136	гаалийн болон нэмэгдсэн өртгийн албан татвараас чөлөөлөх тухай	2012 оны 5 дугаар сарын 22-ны өдөр
136	MNCLW00137	гаалийн тариф, гаалийн татварын тухай	2008 оны 5 дугаар сарын 20-ны өдөр
137	MNCLW00138	гаалийн тухай	2008 оны 5 дугаар сарын 20-ны өдөр
138	MNCLW00139	1 дүгээр зүйл.2020 оны 12 дугаар сарын 31-ний өдөр баталсан гадаадын иргэний эрх зүйн байдлын тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийн 3 дугаар зүйлийн 12 дахь заалтын 24.1 дэх хэсэгт заасан үйл ажиллагааг засгийн газар, түүний харьяа байгууллага нь холбогдох бусад байгууллагатай хамтран үе шаттайгаар зохион байгуулна.хэвлэх	улаанбаатар хот
139	MNCLW00140	гадаадын иргэний эрх зүйн байдлын тухай	2010 оны 7 дугаар сарын 08-ны өдөр
140	MNCLW00141	гадаадын хөрөнгө оруулалтын тухай хууль хүчингүй болсонд тооцох тухай	2013 оны 10 дугаар сарын 3-ны өдөр
141	MNCLW00142	гадаадын цэргийн хүчнийг байрлуулах, дамжин өнгөрүүлэх тухай	1998 оны 1 дүгээр сарын 8-ны өдөр
142	MNCLW00143	газрын төлбөрийн тухай	1997 оны 4 дүгээр сарын 24-ны өдөр
143	MNCLW00144	газрын төлбөрийн тухай хуульд өөрчлөлт оруулах тухай хууль хүчингүй болсонд тооцох тухай	2019 оны 11 сарын 13 өдөр
144	MNCLW00145	газрын тос боловсруулах үйлдвэрийг дэмжих тухай	2021 оны 01 сарын 29 өдөр
145	MNCLW00146	газрын тосны бүтээгдэхүүний тухай	2005 оны 07 дугаар сарын 01-ний өдөр
146	MNCLW00147	газрын тосны тухай	2014 оны 7 дугаар сарын 01-ний өдөр
147	MNCLW00148	газрын тухай	2002 оны 6 дугаар сарын 07-ны өдөр
148	MNCLW00149	газрын хэвлийн тухай	1988 оны 11 дүгээр сарын 29-ний өдөр
149	MNCLW00150	галт зэвсгийн албан татварын тухай	2015 оны 8 дугаар сарын 7-ны өдөр
150	MNCLW00151	галт зэвсгийн тухай хууль хүчингүй болсонд тооцох тухай	2015 оны 8 дугаар сарын 7-ны өдөр
151	MNCLW00152	галт зэвсгийн тухай	2015 оны 8 дугаар сарын 07-ны өдөр
152	MNCLW00153	галын аюулгүй байдлын тухай	2015 оны 7 дугаар сарын 2-ны өдөр
153	MNCLW00154	гамшгаас хамгаалах тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийг дагаж мөрдөх журмын тухай	2020 оны 05 сарын 14 өдөр
154	MNCLW00155	гамшгаас хамгаалах тухай хууль хүчингүй болсонд тооцох тухай	2017 оны 2 дугаар сарын 02-ны өдөр
155	MNCLW00156	гамшгаас хамгаалах тухай	2017 оны 02 сарын 02 өдөр
156	MNCLW00157	генетик нөөцийн тухай хууль	2021 оны 12 сарын 30 өдөр
157	MNCLW00158	геодези, зураг зүйн тухай	1997 оны 10 дугаар сарын 31-ний өдөр
158	MNCLW00159	гол, мөрний урсац бүрэлдэх эх, усны сан бүхий газрын хамгаалалтын бүс, ойн сан бүхий газарт ашигт малтмал хайх, ашиглахыг хориглох тухай	2009 оны 7 дугаар сарын 16-ны өдөр
159	MNCLW00160	гол, мөрний урсац бүрэлдэх эх, усны сан бүхий газрын хамгаалалтын бүс, ойн сан бүхий газарт ашигт малтмал хайх, ашиглахыг хориглох тухай хуулийг дагаж мөрдөх журмын тухай	2009 оны 7 дугаар сарын 16-ны өдөр
160	MNCLW00161	гол нэр төрлийн зарим бараа, бүтээгдэхүүний үнийн өсөлт, хомстлоос сэргийлэх, сөрөг нөлөөллийг бууруулах тухай	2022 оны 04 сарын 15 өдөр
161	MNCLW00162	гүйцэтгэх ажлын тухай	1997 оны 12 дугаар сарын 19-ний өдөр
162	MNCLW00163	гэмт хэргээс урьдчилан сэргийлэх тухай хууль хүчингүй болсонд тооцох тухай	2019 оны 06 сарын 06 өдөр
163	MNCLW00164	гэмт хэрэг, зөрчлөөс урьдчилан сэргийлэх тухай	2019 оны 06 сарын 06 өдөр
164	MNCLW00165	гэр бүлийн тухай	1999 оны 6 дугаар сарын 11-ний өдөр
165	MNCLW00166	гэр бүлийн хүчирхийлэлтэй тэмцэх тухай хууль хүчингүй болсонд тооцох тухай	2016 оны 12 дугаар сарын 22-ны өдөр
166	MNCLW00167	гэр бүлийн хүчирхийлэлтэй тэмцэх тухай	2016 оны 12 дугаар сарын 22-ны өдөр
167	MNCLW00168	гэрч, хохирогчийг хамгаалах тухай	2013 оны 7 дугаар сарын 5-ны өдөр
168	MNCLW00169	гэрээт харуул хамгаалалтын тухай	2000 оны 1 дүгээр сарын 20-ний өдөр
169	MNCLW00170	даатгалын мэргэжлийн оролцогчийн тухай	2004 оны 4 дүгээр сарын 30-ны өдөр
170	MNCLW00171	даатгалын тухай хуулийг дагаж	1997 оны 12 дугаар сарын 5-ны өдөр
171	MNCLW00172	даатгалын тухай хуулийг дагаж мөрдөх журмын тухай	2005 оны 7 дугаар сарын 8-ны өдөр
172	MNCLW00173	даатгалын тухай	2004 оны 4 дүгээр сарын 30-ны өдөр
173	MNCLW00174	давс иоджуулж иод дутлаас сэргийлэх тухай хууль хүчингүй болсонд тооцох тухай	2019 оны 12 сарын 20 өдөр
174	MNCLW00175	дайн бүхий байдлын тухай	1998 оны 1 дүгээр сарын 8-ны өдөр
175	MNCLW00176	дайны байдлын тухай	1998 оны 5 дугаар сарын 15-ний өдөр
176	MNCLW00177	дайчилгааны тухай	1998 оны 5 дугаар сарын 15-ны өдөр
177	MNCLW00178	далай ашиглах тухай хууль хүчингүй болсонд тооцох тухай	2022 оны 06 сарын 03 өдөр
178	MNCLW00179	далай ашиглах тухай	2022 оны 06 сарын 03 өдөр
179	MNCLW00180	дампуурлын тухай	1997 оны 11 дүгээр сарын 20-ны өдөр
180	MNCLW00181	дархлаажуулалтын тухай	2000 оны 4 дүгээр сарын 20-ний өдөр
181	MNCLW00182	дипломат албаны тухай	2000 оны 10 дугаар сарын 05-ны өдөр
182	MNCLW00183	донорын тухай хууль хүчингүй болсонд тооцох тухай	2018 оны 1 дүгээр сарын 19-ний өдөр
183	MNCLW00184	донорын тухай	2018 оны 1 дүгээр сарын 19-ний өдөр
184	MNCLW00185	дотоодын цэргийн тухай	2017 оны 2 дугаар сарын 09-ний өдөр
185	MNCLW00186	дотоодын цэргийн тухай хуулийг дагаж мөрдөх журмын тухай	2017 оны 2 дугаар сарын 09-ний өдөр
186	MNCLW00187	дотоодын цэргийн тухай хууль хүчингүй болсонд тооцох тухай	2014 оны 1 дүгээр сарын 16-ны өдөр
187	MNCLW00188	дээд боловсролын санхүүжилт, суралцагчдын нийгмийн баталгааны тухай	2011 оны 07 дугаар сарын 09-ний өдөр
188	MNCLW00189	дээд боловсролын тухай	2002 оны 5 дугаар сарын 3-ны өдөр
189	MNCLW00190	ерөнхий боловсролын сургуулийн хоол үйлдвэрлэл, үйлчилгээний тухай	2019 оны 05 сарын 30 өдөр
190	MNCLW00191	жагсаал, цуглаан хийх журмын тухай	1994 оны 7 дугаар сарын 7-ны өдөр
191	MNCLW00192	жендэрийн эрх тэгш байдлыг хангах тухай	2011 оны 2 дугаар сарын 2-ны өдөр
192	MNCLW00193	жендэрийн эрх тэгш байдлыг хангах тухай хуулийг дагаж мөрдөх журмын тухай	2011 оны 2 дугаар сарын 2-ны өдөр
193	MNCLW00194	жижиг, дунд yйлдвэрийн тухай хууль хүчингүй болсонд тооцох тухай	2019 оны 06 сарын 06 өдөр
194	MNCLW00195	жижиг, дунд үйлдвэр, үйлчилгээг дэмжих тухай	2019 оны 06 сарын 06 өдөр
195	MNCLW00196	жолоочийн даатгалын тухай	2011 оны 10 дугаар сарын 6-ны өдөр
196	MNCLW00197	залуучуудын хөгжлийг дэмжих тухай	2017 оны 5 дугаар сарын 18-ны өдөр
197	MNCLW00198	замын хөдөлгөөний аюулгүй байдлын тухай	2015 оны 7 дугаар сарын 8-ны өдөр
198	MNCLW00199	зарим бараанд ногдуулах экспортын гаалийн татварын хэмжээ тогтоох тухай	1996 оны 3 дугаар сарын 29-ний өдөр
199	MNCLW00200	зарим бүтээгдэхүүний үнийн өсөлтийн албан татварын тухай хуулийг хүчингүй болсонд тооцох тухай	2009 оны 8 дугаар сарын 25-ны өдөр
200	MNCLW00201	зарим иргэний тэтгэврийн хэмжээг нэмэгдүүлэх тухай	2019 оны 11 сарын 13 өдөр
201	MNCLW00202	зарим материал, тоног төхөөрөмж, машин механизмыг гаалийн албан татвараас чөлөөлөх тухай	2005 оны 8 дугаар сарын 4-ны өдөр
202	MNCLW00203	зарим нийлэг хальсан уутны хэрэглээг хориглох тухай хууль хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр
203	MNCLW00204	зарим төрлийн бараанд гаалийн болон нэмэгдсэн өртгийн албан татварыг ногдуулахгyй байх тухай	2002 оны 10 дугаар сарын 31-ний өдөр
204	MNCLW00205	зарим төрлийн бараанд нэмэгдсэн өртгийн албан татвар ногдуулахгүй байх тухай	2001 оны 11 дүгээр сарын 30-ны өдөр
205	MNCLW00206	зарим төрлийн бараанд нэмэгдсэн өртгийн албан татварын тухай хуулийн зарим заалтыг хамааруулахгүй байх тухай	2000 оны 2 дугаар сарын 03-ны өдөр
206	MNCLW00207	зарим төрлийн үйлчилгээ, бараанд тэмдэгтийн хураамжийн тухай хууль болон гаалийн тарифын тухай хуулийн зарим заалтыг хамааруулахгүй байх тухай	1999 оны 4 дүгээр сарын 8-ны өдөр
207	MNCLW00208	зарлиг хүчингүй болсонд тооцох тухай	2002 оны 6 дугаар сарын 13-ны өдөр
208	MNCLW00209	зар сурталчилгааны тухай	2002 оны 5 дугаар сарын 30-ны өдөр
209	MNCLW00210	засгийн газар дахь хяналтын тухай	2022 оны 11 сарын 11 өдөр
210	MNCLW00211	засгийн газарт эрх олгох тухай	2001 оны 11 дүгээр сарын 30-ны өдөр
211	MNCLW00212	засгийн газарт эрх олгох тухай	2003 оны 12 дугаар сарын 31-ний өдөр
